,loss,val_loss,lr,training_time,test_time,iou
0,0.714819,0.670342,0.002000,600.202204,0.945555,0.304218
1,0.598633,0.812907,0.003000,600.202204,0.945555,0.304218
2,0.505481,29.014324,0.004000,600.202204,0.945555,0.304218
3,0.419995,48.726562,0.004000,600.202204,0.945555,0.304218
4,0.372253,0.533203,0.004000,600.202204,0.945555,0.304218
5,0.339014,4.677138,0.004000,600.202204,0.945555,0.304218
6,0.293750,498.250000,0.004000,600.202204,0.945555,0.304218
7,0.261969,391.875000,0.004000,600.202204,0.945555,0.304218
8,0.237665,229.826385,0.004000,600.202204,0.945555,0.304218
9,0.217157,103.644096,0.004000,600.202204,0.945555,0.304218
10,0.199512,15.607639,0.004000,600.202204,0.945555,0.304218
11,0.184570,3.526096,0.004000,600.202204,0.945555,0.304218
12,0.171100,5.660048,0.004000,600.202204,0.945555,0.304218
13,0.158948,5.894748,0.004000,600.202204,0.945555,0.304218
14,0.147644,1.134589,0.004000,600.202204,0.945555,0.304218
15,0.138458,0.523424,0.004000,600.202204,0.945555,0.304218
16,0.130118,4.454265,0.004000,600.202204,0.945555,0.304218
17,0.120941,1.788140,0.004000,600.202204,0.945555,0.304218
18,0.112927,0.854180,0.004000,600.202204,0.945555,0.304218
19,0.105774,0.793498,0.004000,600.202204,0.945555,0.304218
20,0.100189,0.454949,0.004000,600.202204,0.945555,0.304218
21,0.096213,0.234887,0.004000,600.202204,0.945555,0.304218
22,0.090225,0.576179,0.004000,600.202204,0.945555,0.304218
23,0.084232,0.365363,0.004000,600.202204,0.945555,0.304218
24,0.078787,0.248759,0.004000,600.202204,0.945555,0.304218
25,0.073868,0.240011,0.004000,600.202204,0.945555,0.304218
26,0.070663,0.215308,0.004000,600.202204,0.945555,0.304218
27,0.067325,0.214857,0.004000,600.202204,0.945555,0.304218
28,0.066516,0.214501,0.004000,600.202204,0.945555,0.304218
29,0.063022,0.214610,0.004000,600.202204,0.945555,0.304218
30,0.059348,0.214881,0.004000,600.202204,0.945555,0.304218
31,0.055887,0.220808,0.004000,600.202204,0.945555,0.304218
32,0.053830,0.216783,0.004000,600.202204,0.945555,0.304218
33,0.050758,0.218207,0.004000,600.202204,0.945555,0.304218
34,0.048828,0.219418,0.004000,600.202204,0.945555,0.304218
35,0.047234,0.220852,0.004000,600.202204,0.945555,0.304218
36,0.044913,0.222253,0.004000,600.202204,0.945555,0.304218
37,0.042906,0.223758,0.004000,600.202204,0.945555,0.304218
38,0.041150,0.225115,0.004000,600.202204,0.945555,0.304218
39,0.039085,0.226206,0.004000,600.202204,0.945555,0.304218
40,0.038298,0.227875,0.004000,600.202204,0.945555,0.304218
41,0.037680,0.229153,0.004000,600.202204,0.945555,0.304218
42,0.037459,0.230259,0.004000,600.202204,0.945555,0.304218
43,0.035220,0.231917,0.004000,600.202204,0.945555,0.304218
44,0.033298,0.234456,0.004000,600.202204,0.945555,0.304218
45,0.031290,0.241021,0.004000,600.202204,0.945555,0.304218
46,0.030945,0.246084,0.004000,600.202204,0.945555,0.304218
47,0.030543,0.254927,0.004000,600.202204,0.945555,0.304218
48,0.029295,0.257494,0.004000,600.202204,0.945555,0.304218
49,0.028339,0.263736,0.004000,600.202204,0.945555,0.304218
50,0.027645,0.268246,0.004000,600.202204,0.945555,0.304218
51,0.026227,0.274689,0.004000,600.202204,0.945555,0.304218
52,0.025474,0.279653,0.004000,600.202204,0.945555,0.304218
53,0.024464,0.284180,0.004000,600.202204,0.945555,0.304218
54,0.023714,0.285587,0.004000,600.202204,0.945555,0.304218
55,0.022822,0.286391,0.004000,600.202204,0.945555,0.304218
56,0.022125,0.287045,0.004000,600.202204,0.945555,0.304218
57,0.021438,0.288435,0.004000,600.202204,0.945555,0.304218
58,0.020930,0.291538,0.004000,600.202204,0.945555,0.304218
59,0.020492,0.296736,0.004000,600.202204,0.945555,0.304218
60,0.020238,0.274248,0.002000,600.202204,0.945555,0.304218
61,0.019810,0.282433,0.002000,600.202204,0.945555,0.304218
62,0.019646,0.268992,0.002000,600.202204,0.945555,0.304218
63,0.019660,0.244361,0.002000,600.202204,0.945555,0.304218
64,0.019508,0.267839,0.002000,600.202204,0.945555,0.304218
65,0.019468,0.241272,0.002000,600.202204,0.945555,0.304218
66,0.019463,0.230520,0.002000,600.202204,0.945555,0.304218
67,0.018979,0.221307,0.002000,600.202204,0.945555,0.304218
68,0.018573,0.195777,0.002000,600.202204,0.945555,0.304218
69,0.018179,0.218340,0.002000,600.202204,0.945555,0.304218
70,0.017863,0.196645,0.001000,600.202204,0.945555,0.304218
71,0.017590,0.191396,0.001000,600.202204,0.945555,0.304218
72,0.017359,0.202474,0.001000,600.202204,0.945555,0.304218
73,0.017197,0.197937,0.001000,600.202204,0.945555,0.304218
74,0.017049,0.195841,0.001000,600.202204,0.945555,0.304218
75,0.016915,0.191013,0.001000,600.202204,0.945555,0.304218
76,0.016769,0.188724,0.001000,600.202204,0.945555,0.304218
77,0.016621,0.190609,0.001000,600.202204,0.945555,0.304218
78,0.016511,0.186846,0.001000,600.202204,0.945555,0.304218
79,0.016411,0.186150,0.001000,600.202204,0.945555,0.304218
