,loss,val_loss,lr,training_time,test_time,iou
0,0.664429,0.689602,0.003333,1185.386019,0.948462,0.000000
1,0.567566,0.670288,0.005667,1185.386019,0.948462,0.000000
2,0.509811,0.651015,0.008000,1185.386019,0.948462,0.000000
3,0.410019,0.989122,0.008000,1185.386019,0.948462,0.000000
4,0.364685,14.691298,0.008000,1185.386019,0.948462,0.000000
5,0.324814,93.545135,0.008000,1185.386019,0.948462,0.000000
6,0.293076,140.550339,0.008000,1185.386019,0.948462,0.000000
7,0.269318,363.993042,0.008000,1185.386019,0.948462,0.000000
8,0.249832,821.513916,0.008000,1185.386019,0.948462,0.000000
9,0.231552,774.902771,0.008000,1185.386019,0.948462,0.000000
10,0.214012,1030.375000,0.008000,1185.386019,0.948462,0.000000
11,0.199005,1011.430542,0.008000,1185.386019,0.948462,0.000000
12,0.184769,495.222229,0.008000,1185.386019,0.948462,0.000000
13,0.170677,359.805542,0.008000,1185.386019,0.948462,0.000000
14,0.158958,307.708313,0.008000,1185.386019,0.948462,0.000000
15,0.147804,152.378464,0.008000,1185.386019,0.948462,0.000000
16,0.137352,84.256943,0.008000,1185.386019,0.948462,0.000000
17,0.128250,42.345486,0.008000,1185.386019,0.948462,0.000000
18,0.118923,13.742513,0.008000,1185.386019,0.948462,0.000000
19,0.111034,18.389107,0.008000,1185.386019,0.948462,0.000000
20,0.104000,26.423611,0.008000,1185.386019,0.948462,0.000000
21,0.097481,14.176649,0.008000,1185.386019,0.948462,0.000000
22,0.091770,27.614367,0.008000,1185.386019,0.948462,0.000000
23,0.086906,17.537977,0.008000,1185.386019,0.948462,0.000000
24,0.082233,2.698486,0.008000,1185.386019,0.948462,0.000000
25,0.076927,0.236962,0.008000,1185.386019,0.948462,0.000000
26,0.073502,0.231664,0.008000,1185.386019,0.948462,0.000000
27,0.068531,0.229721,0.008000,1185.386019,0.948462,0.000000
28,0.065033,0.224345,0.008000,1185.386019,0.948462,0.000000
29,0.061277,0.234080,0.008000,1185.386019,0.948462,0.000000
30,0.058958,1.177124,0.008000,1185.386019,0.948462,0.000000
31,0.056946,0.218226,0.008000,1185.386019,0.948462,0.000000
32,0.053251,0.217356,0.008000,1185.386019,0.948462,0.000000
33,0.051567,0.216870,0.008000,1185.386019,0.948462,0.000000
34,0.048836,0.216795,0.008000,1185.386019,0.948462,0.000000
35,0.046659,0.217016,0.008000,1185.386019,0.948462,0.000000
36,0.044510,0.217509,0.008000,1185.386019,0.948462,0.000000
37,0.042328,0.218238,0.008000,1185.386019,0.948462,0.000000
38,0.041153,0.219238,0.008000,1185.386019,0.948462,0.000000
39,0.039351,0.220325,0.008000,1185.386019,0.948462,0.000000
40,0.037590,0.221525,0.008000,1185.386019,0.948462,0.000000
41,0.036364,0.222778,0.008000,1185.386019,0.948462,0.000000
42,0.035099,0.224265,0.008000,1185.386019,0.948462,0.000000
43,0.033569,0.225759,0.008000,1185.386019,0.948462,0.000000
44,0.032578,0.227283,0.008000,1185.386019,0.948462,0.000000
45,0.032475,0.228824,0.008000,1185.386019,0.948462,0.000000
46,0.030620,0.230409,0.008000,1185.386019,0.948462,0.000000
47,0.029753,0.232113,0.008000,1185.386019,0.948462,0.000000
48,0.028620,0.233717,0.008000,1185.386019,0.948462,0.000000
49,0.028590,0.235409,0.008000,1185.386019,0.948462,0.000000
50,0.027165,0.237117,0.008000,1185.386019,0.948462,0.000000
51,0.026793,0.238902,0.008000,1185.386019,0.948462,0.000000
52,0.025649,0.240680,0.008000,1185.386019,0.948462,0.000000
53,0.024940,0.242564,0.008000,1185.386019,0.948462,0.000000
54,0.024289,0.244381,0.008000,1185.386019,0.948462,0.000000
55,0.023496,0.246128,0.008000,1185.386019,0.948462,0.000000
56,0.023106,0.247943,0.008000,1185.386019,0.948462,0.000000
57,0.022508,0.249891,0.008000,1185.386019,0.948462,0.000000
58,0.022132,0.251763,0.008000,1185.386019,0.948462,0.000000
59,0.021648,0.253530,0.008000,1185.386019,0.948462,0.000000
60,0.021416,0.254822,0.004000,1185.386019,0.948462,0.000000
61,0.020984,0.255902,0.004000,1185.386019,0.948462,0.000000
62,0.020772,0.257026,0.004000,1185.386019,0.948462,0.000000
63,0.020432,0.258169,0.004000,1185.386019,0.948462,0.000000
64,0.020232,0.259245,0.004000,1185.386019,0.948462,0.000000
65,0.020011,0.260266,0.004000,1185.386019,0.948462,0.000000
66,0.019843,0.261425,0.004000,1185.386019,0.948462,0.000000
67,0.019603,0.262516,0.004000,1185.386019,0.948462,0.000000
68,0.019398,0.263443,0.004000,1185.386019,0.948462,0.000000
69,0.019089,0.264326,0.004000,1185.386019,0.948462,0.000000
70,0.018923,0.264937,0.002000,1185.386019,0.948462,0.000000
71,0.018713,0.265557,0.002000,1185.386019,0.948462,0.000000
72,0.018577,0.266125,0.002000,1185.386019,0.948462,0.000000
73,0.018490,0.266659,0.002000,1185.386019,0.948462,0.000000
74,0.018339,0.267129,0.002000,1185.386019,0.948462,0.000000
75,0.018217,0.267592,0.002000,1185.386019,0.948462,0.000000
76,0.018113,0.268034,0.002000,1185.386019,0.948462,0.000000
77,0.017998,0.268385,0.002000,1185.386019,0.948462,0.000000
78,0.017876,0.268960,0.002000,1185.386019,0.948462,0.000000
79,0.017767,0.269389,0.002000,1185.386019,0.948462,0.000000
