,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.646681,0.638304,0.672729,0.891473,0.003333,73823.141796,8
1,0.466082,0.893331,0.593099,0.892955,0.005667,73823.141796,8
2,0.347212,0.893934,0.798238,0.679349,0.008000,73823.141796,8
3,0.278019,0.892992,3.344482,0.886292,0.008000,73823.141796,8
4,0.240770,0.892904,1.341064,0.884614,0.008000,73823.141796,8
5,0.212691,0.894662,1.361165,0.508252,0.008000,73823.141796,8
6,0.190799,0.896331,25.409506,0.086388,0.008000,73823.141796,8
7,0.177335,0.903640,25.466145,0.086187,0.008000,73823.141796,8
8,0.166848,0.909391,24.921875,0.075798,0.008000,73823.141796,8
9,0.151302,0.916294,14.841146,0.095377,0.008000,73823.141796,8
10,0.135224,0.923404,10.145182,0.100626,0.008000,73823.141796,8
11,0.127223,0.926939,18.353516,0.084356,0.008000,73823.141796,8
12,0.138678,0.923501,10.820963,0.136306,0.008000,73823.141796,8
13,0.135880,0.923969,21.710938,0.153514,0.008000,73823.141796,8
14,0.124662,0.928325,7.701823,0.147931,0.008000,73823.141796,8
15,0.108770,0.934198,11.498047,0.099198,0.008000,73823.141796,8
16,0.097749,0.937725,4.062582,0.147536,0.008000,73823.141796,8
17,0.128146,0.926766,5.137695,0.198725,0.008000,73823.141796,8
18,0.104613,0.935110,2.075928,0.299159,0.008000,73823.141796,8
19,0.088388,0.941095,0.611633,0.608150,0.008000,73823.141796,8
20,0.085376,0.941996,0.200185,0.903858,0.008000,73823.141796,8
21,0.080591,0.943736,0.249415,0.894632,0.008000,73823.141796,8
22,0.073273,0.946475,0.254166,0.909784,0.008000,73823.141796,8
23,0.075854,0.945890,0.332458,0.851655,0.008000,73823.141796,8
24,0.070395,0.947586,0.356120,0.793911,0.008000,73823.141796,8
25,0.060135,0.951303,0.319092,0.812813,0.008000,73823.141796,8
26,0.055382,0.953080,0.272247,0.842915,0.008000,73823.141796,8
27,0.053728,0.953749,0.338318,0.843859,0.008000,73823.141796,8
28,0.051692,0.954459,0.621582,0.705123,0.008000,73823.141796,8
29,0.048919,0.955472,1.152364,0.594863,0.008000,73823.141796,8
30,0.046065,0.956527,0.495199,0.769939,0.008000,73823.141796,8
31,0.043138,0.957505,1.212728,0.631737,0.008000,73823.141796,8
32,0.047338,0.956115,0.575653,0.880140,0.008000,73823.141796,8
33,0.048758,0.955560,3.816895,0.283801,0.008000,73823.141796,8
34,0.040748,0.958312,0.343272,0.845999,0.008000,73823.141796,8
35,0.039171,0.958847,0.723612,0.618688,0.008000,73823.141796,8
36,0.036033,0.959930,0.813009,0.573907,0.008000,73823.141796,8
37,0.034472,0.960455,1.481120,0.338324,0.008000,73823.141796,8
38,0.034267,0.960505,1.186076,0.516405,0.008000,73823.141796,8
39,0.141452,0.932622,,0.844941,0.008000,73823.141796,8
40,0.218825,0.898916,,0.893349,0.008000,73823.141796,8
41,0.167101,0.912651,,0.869681,0.008000,73823.141796,8
42,0.135257,0.923635,4.225179,0.796283,0.008000,73823.141796,8
43,0.139659,0.923453,50.976562,0.205135,0.008000,73823.141796,8
44,0.115599,0.931260,28.899738,0.192717,0.008000,73823.141796,8
45,0.105180,0.935073,30.259766,0.201424,0.008000,73823.141796,8
46,0.085865,0.941744,43.286461,0.181429,0.008000,73823.141796,8
47,0.094768,0.939392,96.231773,0.197074,0.008000,73823.141796,8
48,0.086479,0.942443,85.575523,0.128620,0.008000,73823.141796,8
49,0.074120,0.946751,95.190102,0.088887,0.008000,73823.141796,8
50,0.069246,0.948454,69.399734,0.175766,0.008000,73823.141796,8
51,0.069333,0.948713,90.236984,0.188774,0.008000,73823.141796,8
52,0.077336,0.946409,171.994781,0.099230,0.008000,73823.141796,8
53,,0.929399,,0.893349,0.008000,73823.141796,8
54,,0.922835,,0.893349,0.008000,73823.141796,8
55,,0.922835,,0.893349,0.008000,73823.141796,8
56,,0.922835,,0.893349,0.008000,73823.141796,8
57,,0.922835,,0.893349,0.008000,73823.141796,8
58,,0.922835,,0.893349,0.008000,73823.141796,8
59,,0.922835,,0.893349,0.008000,73823.141796,8
60,,0.922835,,0.893349,0.008000,73823.141796,8
61,,0.922835,,0.893349,0.008000,73823.141796,8
62,,0.922835,,0.893349,0.008000,73823.141796,8
63,,0.922835,,0.893349,0.008000,73823.141796,8
64,,0.922835,,0.893349,0.008000,73823.141796,8
65,,0.922835,,0.893349,0.008000,73823.141796,8
66,,0.922835,,0.893349,0.008000,73823.141796,8
67,,0.922835,,0.893349,0.008000,73823.141796,8
68,,0.922835,,0.893349,0.008000,73823.141796,8
69,,0.922835,,0.893349,0.008000,73823.141796,8
70,,0.922835,,0.893349,0.008000,73823.141796,8
71,,0.922835,,0.893349,0.008000,73823.141796,8
72,,0.922835,,0.893349,0.008000,73823.141796,8
73,,0.922835,,0.893349,0.008000,73823.141796,8
74,,0.922835,,0.893349,0.008000,73823.141796,8
75,,0.922835,,0.893349,0.008000,73823.141796,8
76,,0.922835,,0.893349,0.008000,73823.141796,8
77,,0.922835,,0.893349,0.008000,73823.141796,8
78,,0.922835,,0.893349,0.008000,73823.141796,8
79,,0.922835,,0.893349,0.008000,73823.141796,8
80,,0.922835,,0.893349,0.004000,73823.141796,8
81,,0.922835,,0.893349,0.004000,73823.141796,8
82,,0.922835,,0.893349,0.004000,73823.141796,8
83,,0.922835,,0.893349,0.004000,73823.141796,8
84,,0.922835,,0.893349,0.004000,73823.141796,8
85,,0.922835,,0.893349,0.004000,73823.141796,8
86,,0.922835,,0.893349,0.004000,73823.141796,8
87,,0.922835,,0.893349,0.004000,73823.141796,8
88,,0.922835,,0.893349,0.004000,73823.141796,8
89,,0.922835,,0.893349,0.004000,73823.141796,8
90,,0.922835,,0.893349,0.004000,73823.141796,8
91,,0.922835,,0.893349,0.004000,73823.141796,8
92,,0.922835,,0.893349,0.004000,73823.141796,8
93,,0.922835,,0.893349,0.004000,73823.141796,8
94,,0.922835,,0.893349,0.004000,73823.141796,8
95,,0.922835,,0.893349,0.004000,73823.141796,8
96,,0.922835,,0.893349,0.004000,73823.141796,8
97,,0.922835,,0.893349,0.004000,73823.141796,8
98,,0.922835,,0.893349,0.004000,73823.141796,8
99,,0.922835,,0.893349,0.004000,73823.141796,8
100,,0.922835,,0.893349,0.004000,73823.141796,8
101,,0.922835,,0.893349,0.004000,73823.141796,8
102,,0.922835,,0.893349,0.004000,73823.141796,8
103,,0.922835,,0.893349,0.004000,73823.141796,8
104,,0.922835,,0.893349,0.004000,73823.141796,8
105,,0.922835,,0.893349,0.004000,73823.141796,8
106,,0.922835,,0.893349,0.004000,73823.141796,8
107,,0.922835,,0.893349,0.004000,73823.141796,8
108,,0.922835,,0.893349,0.004000,73823.141796,8
109,,0.922835,,0.893349,0.004000,73823.141796,8
110,,0.922835,,0.893349,0.004000,73823.141796,8
111,,0.922835,,0.893349,0.004000,73823.141796,8
112,,0.922835,,0.893349,0.004000,73823.141796,8
113,,0.922835,,0.893349,0.004000,73823.141796,8
114,,0.922835,,0.893349,0.004000,73823.141796,8
115,,0.922835,,0.893349,0.004000,73823.141796,8
116,,0.922835,,0.893349,0.004000,73823.141796,8
117,,0.922835,,0.893349,0.004000,73823.141796,8
118,,0.922835,,0.893349,0.004000,73823.141796,8
119,,0.922835,,0.893349,0.004000,73823.141796,8
120,,0.922835,,0.893349,0.002000,73823.141796,8
121,,0.922835,,0.893349,0.002000,73823.141796,8
122,,0.922835,,0.893349,0.002000,73823.141796,8
123,,0.922835,,0.893349,0.002000,73823.141796,8
124,,0.922835,,0.893349,0.002000,73823.141796,8
125,,0.922835,,0.893349,0.002000,73823.141796,8
126,,0.922835,,0.893349,0.002000,73823.141796,8
127,,0.922835,,0.893349,0.002000,73823.141796,8
128,,0.922835,,0.893349,0.002000,73823.141796,8
129,,0.922835,,0.893349,0.002000,73823.141796,8
