,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.582673,0.728082,0.680522,0.830452,0.003333,74184.416599,8
1,0.381423,0.892673,4.383301,0.700939,0.005667,74184.416599,8
2,0.310023,0.893941,5.746419,0.378250,0.008000,74184.416599,8
3,0.281770,0.893810,7.481771,0.892945,0.008000,74184.416599,8
4,0.248187,0.893812,7.633464,0.892988,0.008000,74184.416599,8
5,0.204242,0.900368,20.697266,0.082585,0.008000,74184.416599,8
6,0.172332,0.911577,18.465494,0.076227,0.008000,74184.416599,8
7,0.148042,0.919913,1.062358,0.248831,0.008000,74184.416599,8
8,0.121844,0.929602,1.618408,0.074356,0.008000,74184.416599,8
9,0.106957,0.935246,1.679972,0.081291,0.008000,74184.416599,8
10,0.090052,0.941284,4.086588,0.078496,0.008000,74184.416599,8
11,0.075940,0.946240,2.468018,0.088902,0.008000,74184.416599,8
12,0.068156,0.948865,1.611735,0.088061,0.008000,74184.416599,8
13,0.059124,0.951973,1.067302,0.195523,0.008000,74184.416599,8
14,0.052758,0.954144,1.038615,0.322164,0.008000,74184.416599,8
15,0.047907,0.955895,0.825867,0.398613,0.008000,74184.416599,8
16,0.043774,0.957198,0.791606,0.383402,0.008000,74184.416599,8
17,0.039558,0.958642,0.650085,0.415431,0.008000,74184.416599,8
18,0.036777,0.959501,0.690776,0.364053,0.008000,74184.416599,8
19,0.034570,0.960232,0.444509,0.898876,0.008000,74184.416599,8
20,0.032208,0.961005,0.291901,0.904956,0.008000,74184.416599,8
21,0.030916,0.961443,0.301107,0.902210,0.008000,74184.416599,8
22,0.030054,0.961718,0.331655,0.900724,0.008000,74184.416599,8
23,0.028647,0.962152,0.512614,0.895728,0.008000,74184.416599,8
24,0.028176,0.962311,0.473246,0.897021,0.008000,74184.416599,8
25,0.154395,0.925601,,0.893362,0.008000,74184.416599,8
26,0.147490,0.922344,,0.893362,0.008000,74184.416599,8
27,0.110864,0.933903,3.336833,0.516568,0.008000,74184.416599,8
28,0.105576,0.936449,1.720418,0.796638,0.008000,74184.416599,8
29,0.108780,0.934890,4.979004,0.240979,0.008000,74184.416599,8
30,0.078634,0.944199,3.586751,0.310307,0.008000,74184.416599,8
31,0.071486,0.947123,1.607422,0.345880,0.008000,74184.416599,8
32,0.059211,0.951468,0.220144,0.893316,0.008000,74184.416599,8
33,0.051814,0.954045,0.503306,0.892627,0.008000,74184.416599,8
34,0.049219,0.955074,0.703776,0.894033,0.008000,74184.416599,8
35,0.047797,0.955636,0.571086,0.892585,0.008000,74184.416599,8
36,0.041887,0.957608,0.833801,0.893362,0.008000,74184.416599,8
37,0.039563,0.958444,0.961792,0.893362,0.008000,74184.416599,8
38,0.037550,0.959133,1.138509,0.893363,0.008000,74184.416599,8
39,0.036494,0.959520,1.190023,0.893374,0.008000,74184.416599,8
40,0.035435,0.959868,0.432302,0.895020,0.008000,74184.416599,8
41,0.034409,0.960246,0.585734,0.904957,0.008000,74184.416599,8
42,0.033651,0.960488,1.497762,0.893828,0.008000,74184.416599,8
43,0.032750,0.960822,1.004232,0.896504,0.008000,74184.416599,8
44,0.031424,0.961234,1.023580,0.899393,0.008000,74184.416599,8
45,0.031501,0.961246,0.659342,0.909844,0.008000,74184.416599,8
46,0.029792,0.961845,0.967285,0.900360,0.008000,74184.416599,8
47,0.029173,0.962046,1.312459,0.890911,0.008000,74184.416599,8
48,0.028082,0.962423,1.337931,0.890011,0.008000,74184.416599,8
