,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.523621,0.820063,0.675049,0.706628,0.001333,16324.399936,2
1,0.390638,0.878428,0.672607,0.777635,0.001667,16324.399936,2
2,0.321825,0.891023,5.654948,0.076813,0.002000,16324.399936,2
3,0.270429,0.901479,6.298828,0.082108,0.002000,16324.399936,2
4,0.231945,0.910220,1.008219,0.402189,0.002000,16324.399936,2
5,0.197322,0.917987,1.127279,0.521352,0.002000,16324.399936,2
6,0.175853,0.923106,1.064779,0.767179,0.002000,16324.399936,2
7,0.154364,0.928911,0.486776,0.834104,0.002000,16324.399936,2
8,0.140788,0.931647,0.496826,0.845080,0.002000,16324.399936,2
9,0.122892,0.936688,0.517660,0.878346,0.002000,16324.399936,2
10,0.101850,0.943399,0.347005,0.892303,0.002000,16324.399936,2
11,0.089154,0.946743,0.312174,0.900655,0.002000,16324.399936,2
12,0.080091,0.948912,0.282389,0.902865,0.002000,16324.399936,2
13,0.073140,0.951105,0.279053,0.896015,0.002000,16324.399936,2
14,0.069970,0.951745,0.312215,0.863101,0.002000,16324.399936,2
15,0.064151,0.952870,0.235738,0.910564,0.002000,16324.399936,2
16,0.060400,0.953856,0.227376,0.913768,0.002000,16324.399936,2
17,0.053526,0.955870,0.198853,0.923900,0.002000,16324.399936,2
18,0.048294,0.957443,0.201192,0.922351,0.002000,16324.399936,2
19,0.046260,0.957861,0.217448,0.896276,0.002000,16324.399936,2
20,0.043496,0.958761,0.177836,0.925902,0.002000,16324.399936,2
21,0.040659,0.959550,0.093536,0.946720,0.002000,16324.399936,2
22,0.037309,0.960514,0.087453,0.945357,0.002000,16324.399936,2
23,0.035382,0.961101,0.078115,0.947923,0.002000,16324.399936,2
24,0.033192,0.961751,0.071167,0.949733,0.002000,16324.399936,2
25,0.031796,0.962143,0.063889,0.951392,0.002000,16324.399936,2
26,0.030583,0.962474,0.061178,0.951978,0.002000,16324.399936,2
27,0.029253,0.962850,0.062220,0.951322,0.002000,16324.399936,2
28,0.028338,0.963095,0.059799,0.952120,0.002000,16324.399936,2
29,0.027595,0.963286,0.057709,0.952090,0.002000,16324.399936,2
30,0.027747,0.963151,0.064184,0.949538,0.002000,16324.399936,2
31,0.027938,0.963075,0.041662,0.957293,0.002000,16324.399936,2
32,0.029041,0.962631,0.152364,0.922747,0.002000,16324.399936,2
33,0.027615,0.963143,0.064245,0.948712,0.002000,16324.399936,2
34,0.027501,0.963060,0.061167,0.952745,0.002000,16324.399936,2
35,0.025975,0.963542,0.051992,0.954777,0.002000,16324.399936,2
36,0.025127,0.963844,0.071289,0.945946,0.002000,16324.399936,2
37,0.023430,0.964430,0.082886,0.944306,0.002000,16324.399936,2
38,0.022779,0.964620,0.107778,0.935169,0.002000,16324.399936,2
39,0.021972,0.964905,0.167216,0.917882,0.002000,16324.399936,2
40,0.021543,0.965031,0.169973,0.916155,0.002000,16324.399936,2
41,0.021429,0.965043,0.140279,0.924888,0.002000,16324.399936,2
42,0.022348,0.964708,0.084905,0.942918,0.002000,16324.399936,2
43,0.022392,0.964665,0.081614,0.949836,0.002000,16324.399936,2
44,0.021406,0.964985,0.072220,0.949910,0.002000,16324.399936,2
45,0.019912,0.965481,0.068614,0.949287,0.002000,16324.399936,2
46,0.019299,0.965700,0.140045,0.934666,0.002000,16324.399936,2
47,0.019041,0.965772,0.086792,0.946918,0.002000,16324.399936,2
48,0.018852,0.965830,0.045151,0.957963,0.002000,16324.399936,2
49,0.018833,0.965822,0.051010,0.956497,0.002000,16324.399936,2
50,0.018915,0.965768,0.056127,0.955611,0.002000,16324.399936,2
51,0.019529,0.965559,0.204122,0.922269,0.002000,16324.399936,2
52,0.019010,0.965712,0.175537,0.922645,0.002000,16324.399936,2
53,0.018403,0.965934,0.146098,0.934388,0.002000,16324.399936,2
54,0.018344,0.965925,0.105662,0.941611,0.002000,16324.399936,2
55,0.018537,0.965856,0.213420,0.918103,0.002000,16324.399936,2
56,0.018407,0.965899,0.102107,0.942722,0.002000,16324.399936,2
57,0.018049,0.966000,0.163615,0.930969,0.002000,16324.399936,2
58,0.018008,0.966000,0.059982,0.953283,0.002000,16324.399936,2
59,0.018904,0.965680,0.045629,0.956848,0.002000,16324.399936,2
60,0.077869,0.949498,471.416687,0.894358,0.002000,16324.399936,2
61,0.165379,0.919132,273.833313,0.547308,0.002000,16324.399936,2
62,0.102149,0.937991,2.881510,0.837476,0.002000,16324.399936,2
63,0.069006,0.948999,1.798014,0.449494,0.002000,16324.399936,2
64,0.053218,0.954389,1.041748,0.578715,0.002000,16324.399936,2
65,0.046154,0.956799,0.547363,0.683103,0.002000,16324.399936,2
66,0.040593,0.958614,0.297323,0.850945,0.002000,16324.399936,2
67,0.037076,0.959812,0.162659,0.909259,0.002000,16324.399936,2
68,0.034395,0.960682,0.119039,0.934967,0.002000,16324.399936,2
69,0.032409,0.961359,0.118195,0.937544,0.002000,16324.399936,2
70,0.030714,0.961932,0.125804,0.937298,0.002000,16324.399936,2
71,0.029354,0.962388,0.144979,0.935438,0.002000,16324.399936,2
72,0.028169,0.962782,0.162028,0.933922,0.002000,16324.399936,2
73,0.027114,0.963131,0.178569,0.932293,0.002000,16324.399936,2
74,0.026258,0.963408,0.192810,0.931140,0.002000,16324.399936,2
75,0.025380,0.963712,0.199239,0.931188,0.002000,16324.399936,2
76,0.024774,0.963911,0.191162,0.931391,0.002000,16324.399936,2
77,0.024021,0.964167,0.186442,0.932395,0.002000,16324.399936,2
78,0.024378,0.964041,0.178914,0.920028,0.002000,16324.399936,2
79,0.026628,0.963249,0.182251,0.919973,0.002000,16324.399936,2
80,0.023872,0.964228,0.212321,0.910197,0.001000,16324.399936,2
81,0.022389,0.964728,0.224467,0.904383,0.001000,16324.399936,2
82,0.021789,0.964928,0.209839,0.905768,0.001000,16324.399936,2
83,0.021415,0.965052,0.185445,0.913392,0.001000,16324.399936,2
84,0.021091,0.965162,0.165141,0.919382,0.001000,16324.399936,2
85,0.020799,0.965261,0.148875,0.923880,0.001000,16324.399936,2
86,0.020529,0.965352,0.138214,0.926613,0.001000,16324.399936,2
87,0.020267,0.965441,0.128398,0.929553,0.001000,16324.399936,2
88,0.020023,0.965523,0.122050,0.931800,0.001000,16324.399936,2
89,0.019793,0.965600,0.126760,0.929769,0.001000,16324.399936,2
90,0.019566,0.965676,0.124797,0.930279,0.001000,16324.399936,2
91,0.019341,0.965752,0.126088,0.929515,0.001000,16324.399936,2
92,0.019109,0.965829,0.125264,0.929743,0.001000,16324.399936,2
