,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.647561,0.572133,0.678060,0.751216,0.002000,35216.768702,4
1,0.464033,0.878717,1.195150,0.329346,0.003000,35216.768702,4
2,0.354265,0.895218,229.531250,0.073317,0.004000,35216.768702,4
3,0.264545,0.907377,8.812175,0.096379,0.004000,35216.768702,4
4,0.208017,0.917485,14.301432,0.082898,0.004000,35216.768702,4
5,0.166921,0.926269,8.147461,0.128587,0.004000,35216.768702,4
6,0.157247,0.924093,1.162598,0.538224,0.004000,35216.768702,4
7,0.134045,0.931085,0.326497,0.885002,0.004000,35216.768702,4
8,0.114563,0.936785,0.297648,0.895122,0.004000,35216.768702,4
9,0.098553,0.941531,0.362244,0.894767,0.004000,35216.768702,4
10,0.087958,0.944702,0.359253,0.894768,0.004000,35216.768702,4
11,0.079024,0.947372,0.267039,0.896021,0.004000,35216.768702,4
12,0.070599,0.950091,0.189168,0.908404,0.004000,35216.768702,4
13,0.063657,0.952189,0.206401,0.898820,0.004000,35216.768702,4
14,0.060731,0.953033,3.254395,0.365805,0.004000,35216.768702,4
15,0.075375,0.947266,0.193166,0.911045,0.004000,35216.768702,4
16,0.074401,0.947471,0.222056,0.876068,0.004000,35216.768702,4
17,0.054947,0.954527,0.273427,0.861308,0.004000,35216.768702,4
18,0.046042,0.957642,1.050741,0.670801,0.004000,35216.768702,4
19,0.042242,0.958853,1.944499,0.557627,0.004000,35216.768702,4
20,0.039693,0.959614,1.734538,0.548008,0.004000,35216.768702,4
21,0.037995,0.960112,1.438070,0.589053,0.004000,35216.768702,4
22,0.036029,0.960738,1.557698,0.582875,0.004000,35216.768702,4
23,0.033991,0.961339,1.885091,0.548685,0.004000,35216.768702,4
24,0.032758,0.961689,1.278402,0.655275,0.004000,35216.768702,4
25,0.031066,0.962230,0.830404,0.730407,0.004000,35216.768702,4
26,0.029932,0.962567,0.805420,0.743022,0.004000,35216.768702,4
27,0.029762,0.962544,0.708069,0.764176,0.004000,35216.768702,4
28,0.030540,0.962216,1.311686,0.683020,0.004000,35216.768702,4
29,0.029928,0.962473,0.594340,0.792716,0.004000,35216.768702,4
30,0.027222,0.963322,1.161743,0.720496,0.004000,35216.768702,4
31,0.027964,0.963025,0.302195,0.853528,0.004000,35216.768702,4
32,0.025789,0.963784,1.079834,0.727190,0.004000,35216.768702,4
33,0.025040,0.964025,1.275187,0.699121,0.004000,35216.768702,4
34,0.026882,0.963265,1.255859,0.712537,0.004000,35216.768702,4
35,0.024622,0.964083,0.949585,0.748145,0.004000,35216.768702,4
36,0.022811,0.964720,0.580139,0.799542,0.004000,35216.768702,4
37,0.021518,0.965169,0.544861,0.808891,0.004000,35216.768702,4
38,0.020815,0.965405,0.483093,0.818324,0.004000,35216.768702,4
39,0.020194,0.965601,0.669189,0.795785,0.004000,35216.768702,4
40,0.019821,0.965719,0.390391,0.849445,0.004000,35216.768702,4
41,0.019210,0.965928,0.131017,0.923473,0.004000,35216.768702,4
42,0.019257,0.965893,0.113225,0.930223,0.004000,35216.768702,4
43,0.019204,0.965899,0.570089,0.835928,0.004000,35216.768702,4
44,0.020085,0.965571,0.436971,0.860445,0.004000,35216.768702,4
45,0.018899,0.965977,0.088331,0.939129,0.004000,35216.768702,4
46,0.018571,0.966072,0.066040,0.947209,0.004000,35216.768702,4
47,0.018673,0.966024,0.669698,0.819273,0.004000,35216.768702,4
48,0.022039,0.964873,1.341675,0.715516,0.004000,35216.768702,4
49,0.056662,0.953584,17.179035,0.113124,0.004000,35216.768702,4
50,0.040377,0.958878,10.377604,0.404025,0.004000,35216.768702,4
51,0.033145,0.961223,7.884766,0.370938,0.004000,35216.768702,4
52,0.026947,0.963339,4.792317,0.425732,0.004000,35216.768702,4
53,0.023607,0.964473,2.543945,0.520790,0.004000,35216.768702,4
54,0.021974,0.965022,1.423665,0.659135,0.004000,35216.768702,4
55,0.020747,0.965424,0.872965,0.749206,0.004000,35216.768702,4
56,0.019857,0.965718,0.513224,0.810732,0.004000,35216.768702,4
57,0.019049,0.965983,0.266185,0.878382,0.004000,35216.768702,4
58,0.018453,0.966181,0.136215,0.926507,0.004000,35216.768702,4
59,0.017980,0.966337,0.124212,0.931168,0.004000,35216.768702,4
60,0.018369,0.966204,0.091654,0.941031,0.004000,35216.768702,4
61,0.017638,0.966441,0.053810,0.953833,0.004000,35216.768702,4
62,0.016962,0.966656,0.060445,0.955476,0.004000,35216.768702,4
63,0.016533,0.966801,0.070330,0.955131,0.004000,35216.768702,4
64,0.016943,0.966660,0.049408,0.955406,0.004000,35216.768702,4
65,0.016662,0.966758,0.025374,0.963002,0.004000,35216.768702,4
66,0.016255,0.966862,0.080821,0.949279,0.004000,35216.768702,4
67,0.015631,0.967077,0.237162,0.915269,0.004000,35216.768702,4
68,0.015131,0.967261,0.419352,0.880943,0.004000,35216.768702,4
69,0.015097,0.967262,0.291718,0.907183,0.004000,35216.768702,4
70,0.015184,0.967221,0.075925,0.952523,0.004000,35216.768702,4
71,0.014931,0.967313,0.199056,0.921138,0.004000,35216.768702,4
72,0.014650,0.967423,0.758952,0.845296,0.004000,35216.768702,4
73,0.014310,0.967548,1.090210,0.809470,0.004000,35216.768702,4
74,0.013945,0.967671,1.114990,0.808904,0.004000,35216.768702,4
75,0.013803,0.967722,0.823283,0.842050,0.004000,35216.768702,4
76,0.013695,0.967753,0.737325,0.852148,0.004000,35216.768702,4
77,0.014048,0.967614,0.960002,0.825706,0.004000,35216.768702,4
78,0.014562,0.967435,0.553833,0.870242,0.004000,35216.768702,4
79,0.014371,0.967499,0.106420,0.943722,0.004000,35216.768702,4
80,0.013554,0.967789,0.281352,0.910421,0.002000,35216.768702,4
81,0.013149,0.967924,0.275660,0.912346,0.002000,35216.768702,4
82,0.012854,0.968039,0.107173,0.944142,0.002000,35216.768702,4
83,0.012745,0.968074,0.068527,0.952903,0.002000,35216.768702,4
84,0.012667,0.968097,0.046310,0.958220,0.002000,35216.768702,4
85,0.012549,0.968141,0.032660,0.961492,0.002000,35216.768702,4
86,0.012411,0.968192,0.022701,0.963749,0.002000,35216.768702,4
87,0.012288,0.968237,0.019109,0.964637,0.002000,35216.768702,4
88,0.012175,0.968277,0.018225,0.964860,0.002000,35216.768702,4
89,0.012092,0.968304,0.017530,0.965004,0.002000,35216.768702,4
90,0.012033,0.968324,0.019615,0.964503,0.002000,35216.768702,4
91,0.011981,0.968340,0.023424,0.963637,0.002000,35216.768702,4
92,0.011941,0.968353,0.029733,0.962250,0.002000,35216.768702,4
93,0.011874,0.968376,0.042277,0.959525,0.002000,35216.768702,4
94,0.011835,0.968388,0.048948,0.958151,0.002000,35216.768702,4
95,0.011793,0.968400,0.076126,0.952657,0.002000,35216.768702,4
96,0.011816,0.968388,0.075991,0.952658,0.002000,35216.768702,4
97,0.011925,0.968343,0.096832,0.948692,0.002000,35216.768702,4
98,0.012356,0.968179,0.075658,0.952540,0.002000,35216.768702,4
99,0.012459,0.968139,0.027349,0.962564,0.002000,35216.768702,4
100,0.012956,0.967957,0.071818,0.952455,0.002000,35216.768702,4
101,0.012340,0.968195,0.177923,0.933252,0.002000,35216.768702,4
