,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.547664,0.792674,0.667399,0.881625,0.001333,16404.966655,2
1,0.399257,0.883803,0.647461,0.798763,0.001667,16404.966655,2
2,0.337751,0.892681,0.494222,0.878291,0.002000,16404.966655,2
3,0.289865,0.893884,0.519124,0.874710,0.002000,16404.966655,2
4,0.252572,0.896816,0.585531,0.853976,0.002000,16404.966655,2
5,0.220295,0.905384,0.999593,0.082378,0.002000,16404.966655,2
6,0.195158,0.911923,3.283203,0.135901,0.002000,16404.966655,2
7,0.168544,0.921239,2.615885,0.123672,0.002000,16404.966655,2
8,0.140847,0.929050,2.451497,0.219211,0.002000,16404.966655,2
9,0.116494,0.937563,3.150391,0.175094,0.002000,16404.966655,2
10,0.106944,0.940011,0.666911,0.640862,0.002000,16404.966655,2
11,0.095413,0.943352,0.793050,0.606782,0.002000,16404.966655,2
12,0.088574,0.945092,0.982747,0.613093,0.002000,16404.966655,2
13,0.076433,0.949102,0.872152,0.607188,0.002000,16404.966655,2
14,0.071121,0.950298,0.448486,0.766234,0.002000,16404.966655,2
15,0.068094,0.950946,1.130371,0.558906,0.002000,16404.966655,2
16,0.056718,0.954990,0.131897,0.936349,0.002000,16404.966655,2
17,0.051907,0.956482,0.166239,0.925454,0.002000,16404.966655,2
18,0.048029,0.957566,0.141836,0.933080,0.002000,16404.966655,2
19,0.044474,0.958607,0.131032,0.934618,0.002000,16404.966655,2
20,0.041765,0.959358,0.157572,0.924770,0.002000,16404.966655,2
21,0.039931,0.959832,0.144674,0.930412,0.002000,16404.966655,2
22,0.037960,0.960351,0.141256,0.932740,0.002000,16404.966655,2
23,0.036050,0.960891,0.142273,0.932338,0.002000,16404.966655,2
24,0.034516,0.961336,0.175578,0.916082,0.002000,16404.966655,2
25,0.033221,0.961677,0.213379,0.891876,0.002000,16404.966655,2
26,0.032285,0.961928,0.288127,0.852645,0.002000,16404.966655,2
27,0.031830,0.962054,0.476400,0.765044,0.002000,16404.966655,2
28,0.030164,0.962499,0.418783,0.794487,0.002000,16404.966655,2
29,0.028712,0.962927,0.671712,0.708502,0.002000,16404.966655,2
30,0.028859,0.962809,0.757487,0.693407,0.002000,16404.966655,2
31,0.028031,0.963080,0.203654,0.899602,0.002000,16404.966655,2
32,0.027230,0.963305,0.297099,0.853737,0.002000,16404.966655,2
33,0.025928,0.963704,0.364787,0.815576,0.002000,16404.966655,2
34,0.025169,0.963940,0.465413,0.774869,0.002000,16404.966655,2
35,0.025530,0.963768,0.745036,0.687296,0.002000,16404.966655,2
36,0.026582,0.963324,1.062256,0.629064,0.002000,16404.966655,2
37,0.024797,0.963963,0.868408,0.641278,0.002000,16404.966655,2
38,0.023057,0.964555,0.231018,0.889199,0.002000,16404.966655,2
39,0.022249,0.964806,0.271667,0.867957,0.002000,16404.966655,2
40,0.021474,0.965056,0.145630,0.932992,0.002000,16404.966655,2
41,0.021469,0.965035,0.101857,0.942018,0.002000,16404.966655,2
42,0.021018,0.965165,0.110453,0.943313,0.002000,16404.966655,2
43,0.021282,0.965052,0.088318,0.943909,0.002000,16404.966655,2
44,0.021529,0.964900,0.038752,0.958794,0.002000,16404.966655,2
45,0.023478,0.964187,0.061295,0.949658,0.002000,16404.966655,2
46,0.026420,0.963233,0.092255,0.938890,0.002000,16404.966655,2
47,0.024450,0.963809,0.375488,0.856901,0.002000,16404.966655,2
48,0.021396,0.964891,0.232340,0.887650,0.002000,16404.966655,2
49,0.019941,0.965375,0.144226,0.926485,0.002000,16404.966655,2
50,0.019447,0.965534,0.099436,0.946280,0.002000,16404.966655,2
51,0.018747,0.965780,0.060084,0.954118,0.002000,16404.966655,2
52,0.018162,0.965989,0.073863,0.951641,0.002000,16404.966655,2
53,0.017875,0.966083,0.076518,0.949613,0.002000,16404.966655,2
54,0.018435,0.965883,0.104736,0.936196,0.002000,16404.966655,2
55,0.018846,0.965710,0.041936,0.958353,0.002000,16404.966655,2
56,0.018206,0.965915,0.049825,0.957343,0.002000,16404.966655,2
57,0.017615,0.966124,0.051788,0.957289,0.002000,16404.966655,2
58,0.017567,0.966131,0.035441,0.961045,0.002000,16404.966655,2
59,0.017275,0.966216,0.042318,0.959318,0.002000,16404.966655,2
60,0.017300,0.966185,0.058568,0.955289,0.002000,16404.966655,2
61,0.018559,0.965775,0.083364,0.945132,0.002000,16404.966655,2
62,0.018415,0.965790,0.065608,0.951460,0.002000,16404.966655,2
63,0.018529,0.965792,0.069550,0.951974,0.002000,16404.966655,2
64,0.017581,0.966059,0.028404,0.963105,0.002000,16404.966655,2
65,0.017120,0.966210,0.038635,0.961435,0.002000,16404.966655,2
66,0.017370,0.966115,0.081757,0.950187,0.002000,16404.966655,2
67,0.016699,0.966383,0.066101,0.951851,0.002000,16404.966655,2
68,0.016141,0.966569,0.063873,0.956011,0.002000,16404.966655,2
69,0.015711,0.966724,0.038747,0.960926,0.002000,16404.966655,2
70,0.016183,0.966559,0.043777,0.958829,0.002000,16404.966655,2
71,0.016069,0.966601,0.023834,0.964308,0.002000,16404.966655,2
72,0.015303,0.966850,0.029541,0.962263,0.002000,16404.966655,2
73,0.015018,0.966967,0.025378,0.963702,0.002000,16404.966655,2
74,0.015235,0.966882,0.061025,0.956672,0.002000,16404.966655,2
75,0.015229,0.966854,0.087901,0.951690,0.002000,16404.966655,2
76,0.014817,0.967016,0.111094,0.948511,0.002000,16404.966655,2
77,0.014625,0.967080,0.078044,0.954563,0.002000,16404.966655,2
78,0.014229,0.967228,0.041662,0.960125,0.002000,16404.966655,2
79,0.013912,0.967333,0.048665,0.959046,0.002000,16404.966655,2
80,0.013555,0.967465,0.049901,0.959574,0.001000,16404.966655,2
81,0.013301,0.967554,0.053279,0.958959,0.001000,16404.966655,2
82,0.013061,0.967638,0.044047,0.960819,0.001000,16404.966655,2
83,0.012905,0.967691,0.039093,0.961678,0.001000,16404.966655,2
84,0.012758,0.967743,0.034637,0.962814,0.001000,16404.966655,2
85,0.012638,0.967785,0.029757,0.963915,0.001000,16404.966655,2
86,0.012530,0.967823,0.027725,0.964455,0.001000,16404.966655,2
87,0.012435,0.967854,0.025706,0.964934,0.001000,16404.966655,2
88,0.012352,0.967881,0.026098,0.964849,0.001000,16404.966655,2
89,0.012285,0.967902,0.026316,0.964919,0.001000,16404.966655,2
90,0.012234,0.967917,0.026512,0.964874,0.001000,16404.966655,2
91,0.012210,0.967921,0.026189,0.964824,0.001000,16404.966655,2
92,0.012263,0.967897,0.027573,0.964421,0.001000,16404.966655,2
93,0.012418,0.967836,0.029935,0.963974,0.001000,16404.966655,2
94,0.012600,0.967761,0.019826,0.966028,0.001000,16404.966655,2
95,0.012481,0.967802,0.023760,0.965319,0.001000,16404.966655,2
96,0.012246,0.967891,0.033600,0.963077,0.001000,16404.966655,2
97,0.012011,0.967977,0.034025,0.963097,0.001000,16404.966655,2
98,0.012015,0.967970,0.036608,0.962527,0.001000,16404.966655,2
99,0.012158,0.967918,0.029943,0.963795,0.001000,16404.966655,2
100,0.012516,0.967776,0.020841,0.965683,0.001000,16404.966655,2
101,0.012590,0.967753,0.015848,0.966933,0.001000,16404.966655,2
102,0.012390,0.967830,0.016569,0.966644,0.001000,16404.966655,2
103,0.012472,0.967790,0.020198,0.965620,0.001000,16404.966655,2
104,0.012521,0.967769,0.019806,0.965773,0.001000,16404.966655,2
105,0.012391,0.967817,0.018219,0.966354,0.001000,16404.966655,2
106,0.012365,0.967820,0.024673,0.964960,0.001000,16404.966655,2
107,0.012312,0.967841,0.023321,0.965079,0.001000,16404.966655,2
108,0.012123,0.967907,0.018527,0.966291,0.001000,16404.966655,2
109,0.011962,0.967965,0.015968,0.966924,0.001000,16404.966655,2
110,0.011868,0.968000,0.016599,0.966746,0.001000,16404.966655,2
111,0.011819,0.968015,0.016591,0.966769,0.001000,16404.966655,2
112,0.011892,0.967983,0.018124,0.966336,0.001000,16404.966655,2
113,0.012151,0.967882,0.022583,0.965290,0.001000,16404.966655,2
114,0.012247,0.967853,0.028547,0.964175,0.001000,16404.966655,2
115,0.012064,0.967913,0.034500,0.963140,0.001000,16404.966655,2
116,0.011958,0.967946,0.034744,0.963015,0.001000,16404.966655,2
117,0.011927,0.967960,0.068461,0.955652,0.001000,16404.966655,2
118,0.011989,0.967936,0.050954,0.955202,0.001000,16404.966655,2
119,0.012004,0.967932,0.022781,0.965099,0.001000,16404.966655,2
120,0.011941,0.967956,0.016769,0.966774,0.000500,16404.966655,2
121,0.011831,0.967996,0.016628,0.966887,0.000500,16404.966655,2
122,0.011750,0.968026,0.027069,0.964835,0.000500,16404.966655,2
123,0.011481,0.968123,0.071696,0.956685,0.000500,16404.966655,2
124,0.011212,0.968217,0.075083,0.956546,0.000500,16404.966655,2
125,0.011117,0.968248,0.058375,0.959652,0.000500,16404.966655,2
126,0.011070,0.968264,0.043945,0.962001,0.000500,16404.966655,2
127,0.011045,0.968272,0.037338,0.963123,0.000500,16404.966655,2
128,0.011020,0.968280,0.035700,0.963381,0.000500,16404.966655,2
129,0.011001,0.968287,0.038976,0.962767,0.000500,16404.966655,2
130,0.010976,0.968295,0.042918,0.962080,0.000500,16404.966655,2
131,0.010948,0.968304,0.049276,0.960919,0.000500,16404.966655,2
132,0.010910,0.968317,0.058792,0.959272,0.000500,16404.966655,2
133,0.010869,0.968330,0.065384,0.958199,0.000500,16404.966655,2
134,0.010820,0.968347,0.069529,0.957505,0.000500,16404.966655,2
135,0.010771,0.968362,0.064448,0.958269,0.000500,16404.966655,2
136,0.010723,0.968377,0.052882,0.960072,0.000500,16404.966655,2
137,0.010692,0.968387,0.041239,0.962135,0.000500,16404.966655,2
138,0.010669,0.968394,0.029762,0.964301,0.000500,16404.966655,2
139,0.010656,0.968397,0.021400,0.965920,0.000500,16404.966655,2
140,0.010654,0.968397,0.017904,0.966657,0.000500,16404.966655,2
141,0.010671,0.968391,0.016692,0.966933,0.000500,16404.966655,2
142,0.010700,0.968380,0.016877,0.966928,0.000500,16404.966655,2
143,0.010758,0.968360,0.019258,0.966443,0.000500,16404.966655,2
144,0.010863,0.968321,0.025721,0.965167,0.000500,16404.966655,2
145,0.011028,0.968264,0.039897,0.962201,0.000500,16404.966655,2
146,0.011188,0.968206,0.032130,0.963695,0.000500,16404.966655,2
147,0.011203,0.968203,0.016768,0.966890,0.000500,16404.966655,2
148,0.011188,0.968208,0.021238,0.965781,0.000500,16404.966655,2
149,0.011024,0.968266,0.054835,0.960115,0.000500,16404.966655,2
