,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.508377,0.821300,1.247396,0.088867,0.002000,35333.599669,4
1,0.374137,0.892850,8.790364,0.077633,0.003000,35333.599669,4
2,0.323563,0.892051,9.619791,0.076839,0.004000,35333.599669,4
3,0.280798,0.891858,32.470051,0.076353,0.004000,35333.599669,4
4,0.231335,0.896123,29.186199,0.076359,0.004000,35333.599669,4
5,0.196559,0.904427,11.719401,0.077484,0.004000,35333.599669,4
6,0.170852,0.913045,11.155599,0.092466,0.004000,35333.599669,4
7,0.156392,0.917931,6.579102,0.119088,0.004000,35333.599669,4
8,0.146966,0.922051,6.442708,0.169027,0.004000,35333.599669,4
9,0.127704,0.928678,1.710286,0.370914,0.004000,35333.599669,4
10,0.116908,0.931401,1.509033,0.446962,0.004000,35333.599669,4
11,0.109487,0.934098,0.432963,0.823464,0.004000,35333.599669,4
12,0.095504,0.938729,0.290955,0.887757,0.004000,35333.599669,4
13,0.091522,0.940126,0.271200,0.893143,0.004000,35333.599669,4
14,0.082439,0.943151,0.256714,0.898524,0.004000,35333.599669,4
15,0.074740,0.945998,0.214111,0.913398,0.004000,35333.599669,4
16,0.069286,0.947931,0.185262,0.924387,0.004000,35333.599669,4
17,0.061903,0.950694,0.158712,0.930843,0.004000,35333.599669,4
18,0.059463,0.951716,0.254344,0.870840,0.004000,35333.599669,4
19,0.053937,0.953713,0.418477,0.817643,0.004000,35333.599669,4
20,0.051553,0.954483,0.940389,0.663141,0.004000,35333.599669,4
21,0.051207,0.954699,0.302968,0.857011,0.004000,35333.599669,4
22,0.044773,0.956943,0.135508,0.933111,0.004000,35333.599669,4
23,0.043268,0.957496,0.135549,0.927480,0.004000,35333.599669,4
24,0.041411,0.958079,0.124547,0.932333,0.004000,35333.599669,4
25,0.037290,0.959554,0.130391,0.932652,0.004000,35333.599669,4
26,0.034545,0.960432,0.139801,0.922994,0.004000,35333.599669,4
27,0.032996,0.960993,0.107437,0.936855,0.004000,35333.599669,4
28,0.031480,0.961472,0.095103,0.943188,0.004000,35333.599669,4
29,0.030328,0.961877,0.103083,0.940736,0.004000,35333.599669,4
30,0.030196,0.961919,0.117299,0.938008,0.004000,35333.599669,4
31,0.029337,0.962169,0.127864,0.923995,0.004000,35333.599669,4
32,0.027623,0.962766,0.150401,0.933222,0.004000,35333.599669,4
33,0.026837,0.962997,0.158132,0.932800,0.004000,35333.599669,4
34,0.025968,0.963310,0.167826,0.929734,0.004000,35333.599669,4
35,0.027067,0.962914,0.204987,0.891315,0.004000,35333.599669,4
36,0.026115,0.963190,0.134272,0.926360,0.004000,35333.599669,4
37,0.025226,0.963490,0.153748,0.925575,0.004000,35333.599669,4
38,0.023512,0.964080,0.157613,0.918400,0.004000,35333.599669,4
39,0.022824,0.964299,0.152588,0.922305,0.004000,35333.599669,4
40,0.022566,0.964391,0.128916,0.919117,0.004000,35333.599669,4
41,0.021873,0.964632,0.079992,0.948216,0.004000,35333.599669,4
42,0.021490,0.964752,0.078410,0.945741,0.004000,35333.599669,4
43,0.020555,0.965089,0.102834,0.938879,0.004000,35333.599669,4
44,0.025914,0.963209,0.665120,0.816978,0.004000,35333.599669,4
45,0.031964,0.961108,0.686157,0.656900,0.004000,35333.599669,4
46,0.066255,0.950593,8.133463,0.756463,0.004000,35333.599669,4
47,0.055792,0.953683,6.444661,0.601352,0.004000,35333.599669,4
48,0.040221,0.958478,1.565104,0.652252,0.004000,35333.599669,4
49,0.033684,0.960672,0.843140,0.718951,0.004000,35333.599669,4
50,0.029616,0.962029,0.427409,0.787536,0.004000,35333.599669,4
51,0.027610,0.962715,0.291677,0.823527,0.004000,35333.599669,4
52,0.025956,0.963309,0.251648,0.840809,0.004000,35333.599669,4
53,0.024731,0.963715,0.271871,0.864962,0.004000,35333.599669,4
54,0.023749,0.964055,0.283793,0.896068,0.004000,35333.599669,4
55,0.022853,0.964369,0.301554,0.902991,0.004000,35333.599669,4
56,0.022095,0.964633,0.296895,0.914449,0.004000,35333.599669,4
57,0.021526,0.964822,0.275309,0.915601,0.004000,35333.599669,4
58,0.021017,0.964998,0.261770,0.908623,0.004000,35333.599669,4
59,0.020539,0.965171,0.266632,0.916409,0.004000,35333.599669,4
60,0.020067,0.965332,0.308167,0.907972,0.004000,35333.599669,4
61,0.019623,0.965485,0.324910,0.895438,0.004000,35333.599669,4
62,0.019315,0.965576,0.333537,0.886687,0.004000,35333.599669,4
63,0.019473,0.965515,0.263234,0.919040,0.004000,35333.599669,4
64,0.018750,0.965778,0.258657,0.913404,0.004000,35333.599669,4
65,0.018577,0.965829,0.287079,0.924146,0.004000,35333.599669,4
66,0.018133,0.965971,0.308818,0.923532,0.004000,35333.599669,4
67,0.017445,0.966225,0.273844,0.917420,0.004000,35333.599669,4
68,0.016903,0.966417,0.243734,0.921165,0.004000,35333.599669,4
69,0.016462,0.966568,0.250824,0.921047,0.004000,35333.599669,4
70,0.016164,0.966669,0.233541,0.928795,0.004000,35333.599669,4
71,0.015907,0.966759,0.205037,0.932823,0.004000,35333.599669,4
72,0.015668,0.966841,0.194438,0.930787,0.004000,35333.599669,4
73,0.015613,0.966856,0.315674,0.889329,0.004000,35333.599669,4
74,0.015882,0.966740,0.310008,0.890552,0.004000,35333.599669,4
75,0.016743,0.966451,0.155396,0.935078,0.004000,35333.599669,4
76,0.016768,0.966415,0.248027,0.914038,0.004000,35333.599669,4
77,0.016231,0.966616,0.293233,0.897763,0.004000,35333.599669,4
78,0.015602,0.966854,0.262533,0.908951,0.004000,35333.599669,4
79,0.015062,0.967037,0.255035,0.909287,0.004000,35333.599669,4
80,0.014408,0.967264,0.240082,0.912313,0.002000,35333.599669,4
81,0.014217,0.967323,0.226390,0.910074,0.002000,35333.599669,4
82,0.014068,0.967376,0.259959,0.896496,0.002000,35333.599669,4
83,0.013902,0.967436,0.268341,0.895828,0.002000,35333.599669,4
84,0.013714,0.967505,0.226298,0.906145,0.002000,35333.599669,4
85,0.013551,0.967564,0.184194,0.920997,0.002000,35333.599669,4
86,0.013401,0.967619,0.143824,0.932834,0.002000,35333.599669,4
87,0.013256,0.967671,0.105410,0.940598,0.002000,35333.599669,4
88,0.013130,0.967715,0.094208,0.943999,0.002000,35333.599669,4
89,0.013024,0.967752,0.100240,0.943631,0.002000,35333.599669,4
90,0.012933,0.967783,0.108495,0.941387,0.002000,35333.599669,4
91,0.012838,0.967816,0.118469,0.939078,0.002000,35333.599669,4
92,0.012755,0.967844,0.112478,0.940729,0.002000,35333.599669,4
93,0.012662,0.967876,0.084328,0.949143,0.002000,35333.599669,4
94,0.012585,0.967902,0.071289,0.953863,0.002000,35333.599669,4
95,0.012533,0.967918,0.057622,0.957324,0.002000,35333.599669,4
96,0.012451,0.967946,0.050032,0.959117,0.002000,35333.599669,4
97,0.012403,0.967960,0.051202,0.958665,0.002000,35333.599669,4
98,0.012327,0.967984,0.056580,0.957867,0.002000,35333.599669,4
99,0.012263,0.968006,0.058965,0.957275,0.002000,35333.599669,4
100,0.012223,0.968017,0.064105,0.956688,0.002000,35333.599669,4
101,0.012199,0.968024,0.066261,0.956381,0.002000,35333.599669,4
102,0.012295,0.967988,0.053431,0.958141,0.002000,35333.599669,4
103,0.012611,0.967870,0.020798,0.966298,0.002000,35333.599669,4
104,0.012535,0.967903,0.018463,0.966770,0.002000,35333.599669,4
105,0.012705,0.967840,0.022170,0.965517,0.002000,35333.599669,4
106,0.012457,0.967924,0.033836,0.963022,0.002000,35333.599669,4
107,0.012152,0.968031,0.039689,0.961728,0.002000,35333.599669,4
108,0.011958,0.968096,0.048256,0.959780,0.002000,35333.599669,4
109,0.011912,0.968110,0.059774,0.956655,0.002000,35333.599669,4
110,0.011904,0.968114,0.091578,0.948465,0.002000,35333.599669,4
111,0.011995,0.968079,0.142873,0.934654,0.002000,35333.599669,4
112,0.012121,0.968035,0.089389,0.946844,0.002000,35333.599669,4
113,0.012198,0.968005,0.040152,0.960840,0.002000,35333.599669,4
114,0.012123,0.968030,0.024876,0.965421,0.002000,35333.599669,4
115,0.012107,0.968031,0.029022,0.964695,0.002000,35333.599669,4
116,0.013898,0.967430,0.135447,0.942033,0.002000,35333.599669,4
117,0.013611,0.967522,0.109235,0.949638,0.002000,35333.599669,4
118,0.012191,0.968004,0.087893,0.952479,0.002000,35333.599669,4
119,0.011685,0.968183,0.044226,0.962004,0.002000,35333.599669,4
120,0.011554,0.968217,0.043301,0.962538,0.001000,35333.599669,4
121,0.011542,0.968221,0.040152,0.962863,0.001000,35333.599669,4
122,0.011488,0.968240,0.034454,0.963881,0.001000,35333.599669,4
123,0.011434,0.968258,0.030045,0.964642,0.001000,35333.599669,4
124,0.011364,0.968284,0.027850,0.965143,0.001000,35333.599669,4
125,0.011286,0.968312,0.026852,0.965429,0.001000,35333.599669,4
126,0.011215,0.968337,0.027368,0.965398,0.001000,35333.599669,4
127,0.011161,0.968356,0.029748,0.964962,0.001000,35333.599669,4
128,0.011107,0.968376,0.034086,0.964212,0.001000,35333.599669,4
129,0.011072,0.968388,0.035779,0.963914,0.001000,35333.599669,4
130,0.011043,0.968398,0.041389,0.962829,0.001000,35333.599669,4
131,0.011000,0.968413,0.043125,0.962503,0.001000,35333.599669,4
132,0.010964,0.968426,0.045911,0.961942,0.001000,35333.599669,4
133,0.010940,0.968434,0.046989,0.961731,0.001000,35333.599669,4
134,0.010908,0.968445,0.051764,0.960874,0.001000,35333.599669,4
135,0.010874,0.968457,0.052654,0.960784,0.001000,35333.599669,4
136,0.010848,0.968466,0.054420,0.960551,0.001000,35333.599669,4
137,0.010825,0.968473,0.056337,0.960234,0.001000,35333.599669,4
138,0.010803,0.968480,0.045919,0.962222,0.001000,35333.599669,4
139,0.010788,0.968484,0.046313,0.962200,0.001000,35333.599669,4
140,0.010767,0.968491,0.047337,0.962130,0.001000,35333.599669,4
141,0.010749,0.968497,0.062398,0.959424,0.001000,35333.599669,4
142,0.010741,0.968500,0.088353,0.954876,0.001000,35333.599669,4
143,0.010712,0.968510,0.100271,0.952734,0.001000,35333.599669,4
144,0.010698,0.968514,0.105446,0.951742,0.001000,35333.599669,4
145,0.010679,0.968520,0.099208,0.952798,0.001000,35333.599669,4
146,0.010670,0.968522,0.091975,0.954194,0.001000,35333.599669,4
147,0.010650,0.968529,0.086856,0.955196,0.001000,35333.599669,4
148,0.010638,0.968532,0.067731,0.958793,0.001000,35333.599669,4
149,0.010657,0.968525,0.064298,0.959455,0.001000,35333.599669,4
