,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.675642,0.533635,0.679362,0.789156,0.001000,6285.704973,1
1,0.519453,0.874556,0.646810,0.895340,0.001000,6285.704973,1
2,0.479013,0.891718,0.638021,0.882262,0.001000,6285.704973,1
3,0.454616,0.893460,0.606771,0.895344,0.001000,6285.704973,1
4,0.432844,0.893726,0.590820,0.895344,0.001000,6285.704973,1
5,0.408648,0.893787,0.579427,0.895344,0.001000,6285.704973,1
6,0.388899,0.893786,0.513672,0.895344,0.001000,6285.704973,1
7,0.367833,0.893710,0.515951,0.895344,0.001000,6285.704973,1
8,0.345485,0.893736,0.557454,0.895353,0.001000,6285.704973,1
9,0.314270,0.895278,0.616374,0.782233,0.001000,6285.704973,1
10,0.285453,0.905148,0.703613,0.602535,0.001000,6285.704973,1
11,0.257817,0.912889,0.680501,0.679534,0.001000,6285.704973,1
12,0.231977,0.918498,0.484131,0.898373,0.001000,6285.704973,1
13,0.211099,0.925042,0.444824,0.905983,0.001000,6285.704973,1
14,0.194571,0.928028,0.347738,0.916309,0.001000,6285.704973,1
15,0.184195,0.928685,0.376302,0.898543,0.001000,6285.704973,1
16,0.168008,0.932004,0.288900,0.917167,0.001000,6285.704973,1
17,0.151943,0.935802,0.254598,0.923642,0.001000,6285.704973,1
18,0.134271,0.941292,0.226237,0.925196,0.001000,6285.704973,1
19,0.125209,0.942936,0.233846,0.913770,0.001000,6285.704973,1
20,0.115875,0.945014,0.236491,0.912057,0.001000,6285.704973,1
21,0.106988,0.947129,0.167603,0.934161,0.001000,6285.704973,1
22,0.097035,0.950045,0.154297,0.936326,0.001000,6285.704973,1
23,0.088911,0.951964,0.162476,0.932687,0.001000,6285.704973,1
24,0.085848,0.951822,0.114685,0.946827,0.001000,6285.704973,1
25,0.081918,0.952585,0.098531,0.950221,0.001000,6285.704973,1
26,0.076743,0.953604,0.104818,0.950051,0.001000,6285.704973,1
27,0.070286,0.955477,0.099325,0.951246,0.001000,6285.704973,1
28,0.064447,0.956910,0.079427,0.955990,0.001000,6285.704973,1
29,0.063091,0.956630,0.075012,0.955330,0.001000,6285.704973,1
30,0.067269,0.954444,0.067139,0.956896,0.001000,6285.704973,1
31,0.060116,0.956736,0.153137,0.913505,0.001000,6285.704973,1
32,0.054537,0.958246,0.070740,0.955266,0.001000,6285.704973,1
33,0.053205,0.958323,0.061330,0.957484,0.001000,6285.704973,1
34,0.051428,0.958577,0.056061,0.959325,0.001000,6285.704973,1
35,0.049844,0.958789,0.082052,0.951317,0.001000,6285.704973,1
36,0.050347,0.958185,0.081156,0.951572,0.001000,6285.704973,1
37,0.049028,0.958491,0.052907,0.960213,0.001000,6285.704973,1
38,0.043748,0.960239,0.054596,0.960151,0.001000,6285.704973,1
39,0.041005,0.961047,0.049866,0.961116,0.001000,6285.704973,1
40,0.039864,0.961219,0.046834,0.962102,0.001000,6285.704973,1
41,0.037894,0.961754,0.053843,0.960530,0.001000,6285.704973,1
42,0.036658,0.962037,0.047048,0.962246,0.001000,6285.704973,1
43,0.035467,0.962320,0.046488,0.962309,0.001000,6285.704973,1
44,0.038450,0.961032,0.204020,0.870370,0.001000,6285.704973,1
45,0.040915,0.960007,0.057688,0.955455,0.001000,6285.704973,1
46,0.036887,0.961372,0.048737,0.960632,0.001000,6285.704973,1
