,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.753601,0.389647,0.673665,0.796009,0.001333,16009.236551,2
1,0.620876,0.887643,0.649495,0.894036,0.001667,16009.236551,2
2,0.567854,0.894130,0.630208,0.894065,0.002000,16009.236551,2
3,0.506221,0.894682,0.592448,0.894065,0.002000,16009.236551,2
4,0.451093,0.894684,0.607910,0.894065,0.002000,16009.236551,2
5,0.400604,0.894684,0.605225,0.894065,0.002000,16009.236551,2
6,0.357326,0.894684,0.595215,0.894065,0.002000,16009.236551,2
7,0.319332,0.894684,0.597656,0.893523,0.002000,16009.236551,2
8,0.291748,0.894695,0.706869,0.526191,0.002000,16009.236551,2
9,0.263702,0.897530,0.894775,0.215359,0.002000,16009.236551,2
10,0.231875,0.909357,1.213704,0.172387,0.002000,16009.236551,2
11,0.220136,0.910176,0.882650,0.557167,0.002000,16009.236551,2
12,0.195358,0.918152,0.828288,0.697225,0.002000,16009.236551,2
13,0.177375,0.923361,0.374593,0.892416,0.002000,16009.236551,2
14,0.161115,0.926877,0.363322,0.868387,0.002000,16009.236551,2
15,0.141677,0.933202,0.314901,0.907713,0.002000,16009.236551,2
16,0.137086,0.933677,0.325114,0.897536,0.002000,16009.236551,2
17,0.120720,0.938752,0.275553,0.901800,0.002000,16009.236551,2
18,0.110488,0.940750,0.245239,0.903395,0.002000,16009.236551,2
19,0.101770,0.942968,0.223124,0.906997,0.002000,16009.236551,2
20,0.095719,0.944319,0.184875,0.924762,0.002000,16009.236551,2
21,0.089847,0.945933,0.173747,0.923834,0.002000,16009.236551,2
22,0.080237,0.948708,0.393270,0.790360,0.002000,16009.236551,2
23,0.078124,0.949034,0.229431,0.912078,0.002000,16009.236551,2
24,0.068794,0.952244,0.141296,0.928540,0.002000,16009.236551,2
25,0.065945,0.952935,0.096049,0.948640,0.002000,16009.236551,2
26,0.061027,0.954451,0.140910,0.928344,0.002000,16009.236551,2
27,0.064747,0.952546,0.174500,0.909970,0.002000,16009.236551,2
28,0.057370,0.955288,0.097483,0.946475,0.002000,16009.236551,2
29,0.050794,0.957389,0.090403,0.947436,0.002000,16009.236551,2
30,0.047352,0.958408,0.106394,0.938674,0.002000,16009.236551,2
31,0.044692,0.959130,0.111847,0.936742,0.002000,16009.236551,2
32,0.042369,0.959791,0.108337,0.936163,0.002000,16009.236551,2
33,0.040561,0.960245,0.130910,0.925750,0.002000,16009.236551,2
34,0.038754,0.960730,0.136210,0.924105,0.002000,16009.236551,2
35,0.037674,0.961001,0.100525,0.936420,0.002000,16009.236551,2
36,0.037082,0.961061,0.099467,0.937887,0.002000,16009.236551,2
37,0.035742,0.961428,0.117716,0.928409,0.002000,16009.236551,2
38,0.035860,0.961297,0.050578,0.957425,0.002000,16009.236551,2
39,0.034638,0.961632,0.068837,0.949896,0.002000,16009.236551,2
40,0.034634,0.961585,0.061289,0.952095,0.002000,16009.236551,2
41,0.032430,0.962239,0.052195,0.956424,0.002000,16009.236551,2
42,0.030276,0.962922,0.084137,0.941593,0.002000,16009.236551,2
43,0.029316,0.963172,0.058431,0.953147,0.002000,16009.236551,2
44,0.029927,0.962880,0.213582,0.885852,0.002000,16009.236551,2
45,0.029766,0.962905,0.477132,0.792975,0.002000,16009.236551,2
46,0.029741,0.962888,0.089233,0.939528,0.002000,16009.236551,2
