,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.369125,0.875640,0.772664,0.371294,0.002000,35747.576121,4
1,0.257715,0.898521,13.674479,0.075008,0.003000,35747.576121,4
2,0.204520,0.910484,86.937500,0.074999,0.004000,35747.576121,4
3,0.163026,0.921157,56.890625,0.075002,0.004000,35747.576121,4
4,0.134949,0.928850,39.385414,0.075645,0.004000,35747.576121,4
5,0.115336,0.933660,7.149088,0.079345,0.004000,35747.576121,4
6,0.098921,0.938795,4.500326,0.097675,0.004000,35747.576121,4
7,0.088158,0.942270,2.150960,0.173375,0.004000,35747.576121,4
8,0.070246,0.948508,4.849284,0.150391,0.004000,35747.576121,4
9,0.059453,0.952186,1.101685,0.536474,0.004000,35747.576121,4
10,0.055029,0.953552,1.376872,0.527127,0.004000,35747.576121,4
11,0.048752,0.955716,0.317790,0.897686,0.004000,35747.576121,4
12,0.044318,0.957191,0.278880,0.898522,0.004000,35747.576121,4
13,0.041717,0.957956,0.218414,0.911996,0.004000,35747.576121,4
14,0.037780,0.959289,0.300242,0.914655,0.004000,35747.576121,4
15,0.036448,0.959687,0.191172,0.925651,0.004000,35747.576121,4
16,0.034247,0.960426,0.246429,0.902462,0.004000,35747.576121,4
17,0.031721,0.961258,0.210561,0.918646,0.004000,35747.576121,4
18,0.029449,0.962039,0.201192,0.928330,0.004000,35747.576121,4
19,0.028154,0.962431,0.178569,0.927525,0.004000,35747.576121,4
20,0.026640,0.962931,0.232981,0.905038,0.004000,35747.576121,4
21,0.025465,0.963322,0.278707,0.875398,0.004000,35747.576121,4
22,0.025176,0.963372,0.277944,0.888206,0.004000,35747.576121,4
23,0.024702,0.963535,0.230581,0.918446,0.004000,35747.576121,4
24,0.024735,0.963544,0.297109,0.879864,0.004000,35747.576121,4
25,0.025061,0.963390,0.458435,0.817921,0.004000,35747.576121,4
26,0.023246,0.963995,0.685588,0.774536,0.004000,35747.576121,4
27,0.022593,0.964222,0.504435,0.857752,0.004000,35747.576121,4
28,0.022835,0.964142,0.513489,0.897384,0.004000,35747.576121,4
29,0.022274,0.964320,0.410604,0.865209,0.004000,35747.576121,4
30,0.021166,0.964717,0.819255,0.815892,0.004000,35747.576121,4
31,0.020475,0.964986,0.999064,0.822184,0.004000,35747.576121,4
32,0.019952,0.965145,1.047078,0.906425,0.004000,35747.576121,4
33,0.019660,0.965260,1.159505,0.921942,0.004000,35747.576121,4
34,0.238306,0.913045,,0.893484,0.004000,35747.576121,4
35,0.313653,0.894211,,0.890426,0.004000,35747.576121,4
