,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.775251,0.390118,0.661214,0.854585,0.001333,16049.995705,2
1,0.611433,0.869878,0.623698,0.891859,0.001667,16049.995705,2
2,0.555315,0.892361,0.606934,0.893596,0.002000,16049.995705,2
3,0.503466,0.893329,0.417480,0.893727,0.002000,16049.995705,2
4,0.442317,0.893771,0.530029,0.893727,0.002000,16049.995705,2
5,0.392630,0.894017,0.553223,0.893727,0.002000,16049.995705,2
6,0.354540,0.894044,0.573730,0.893727,0.002000,16049.995705,2
7,0.319706,0.894050,0.568441,0.893727,0.002000,16049.995705,2
8,0.286359,0.894194,0.594889,0.893543,0.002000,16049.995705,2
9,0.261965,0.899865,1.049642,0.164422,0.002000,16049.995705,2
10,0.228115,0.909290,2.367188,0.158877,0.002000,16049.995705,2
11,0.211391,0.913554,3.175130,0.208186,0.002000,16049.995705,2
12,0.183267,0.922411,3.727213,0.207149,0.002000,16049.995705,2
13,0.161959,0.928258,2.789713,0.336845,0.002000,16049.995705,2
14,0.149005,0.931217,1.531576,0.408809,0.002000,16049.995705,2
15,0.142601,0.930741,0.746012,0.620094,0.002000,16049.995705,2
16,0.129984,0.934052,2.161458,0.634069,0.002000,16049.995705,2
17,0.120761,0.936466,0.961426,0.802995,0.002000,16049.995705,2
18,0.109643,0.939393,0.789795,0.781720,0.002000,16049.995705,2
19,0.101548,0.941777,0.738607,0.766252,0.002000,16049.995705,2
20,0.093682,0.944202,0.655314,0.727511,0.002000,16049.995705,2
21,0.084123,0.947319,0.296529,0.857633,0.002000,16049.995705,2
22,0.080813,0.948024,0.577311,0.753542,0.002000,16049.995705,2
23,0.074796,0.950007,0.309652,0.844919,0.002000,16049.995705,2
24,0.092610,0.943225,0.135986,0.936407,0.002000,16049.995705,2
25,0.076906,0.948374,0.235046,0.893071,0.002000,16049.995705,2
26,0.067250,0.951791,0.172913,0.916165,0.002000,16049.995705,2
27,0.061736,0.953632,0.234965,0.890306,0.002000,16049.995705,2
28,0.061817,0.953416,0.904297,0.644100,0.002000,16049.995705,2
