,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.702854,0.627032,6.574056,0.492949,0.003333,73389.740229,8
1,0.468193,0.893231,1.261027,0.821424,0.005667,73389.740229,8
2,0.367632,0.894059,0.492900,0.892142,0.008000,73389.740229,8
3,0.323697,0.894083,12.912760,0.892868,0.008000,73389.740229,8
4,0.286970,0.893983,6.819336,0.822260,0.008000,73389.740229,8
5,0.238676,0.897359,23.768230,0.305777,0.008000,73389.740229,8
6,0.197472,0.906591,22.087238,0.194424,0.008000,73389.740229,8
7,0.172813,0.915021,29.226562,0.154977,0.008000,73389.740229,8
8,0.145307,0.923253,3.453207,0.184889,0.008000,73389.740229,8
9,0.126398,0.928774,9.652670,0.084714,0.008000,73389.740229,8
10,0.115875,0.932033,2.618978,0.287598,0.008000,73389.740229,8
11,0.101998,0.936890,6.741862,0.096335,0.008000,73389.740229,8
12,0.091273,0.941294,3.437175,0.143561,0.008000,73389.740229,8
13,0.084086,0.943648,3.375407,0.146702,0.008000,73389.740229,8
14,0.078289,0.945691,4.288574,0.134572,0.008000,73389.740229,8
15,0.066295,0.949759,2.533041,0.206266,0.008000,73389.740229,8
16,0.058542,0.952372,2.899577,0.160646,0.008000,73389.740229,8
17,0.055947,0.953145,3.696289,0.149623,0.008000,73389.740229,8
18,0.050228,0.955179,3.414469,0.166760,0.008000,73389.740229,8
19,0.046259,0.956448,3.338623,0.158256,0.008000,73389.740229,8
20,0.044094,0.957182,3.715169,0.156557,0.008000,73389.740229,8
21,0.041272,0.958155,2.389567,0.246634,0.008000,73389.740229,8
22,0.038416,0.959145,1.755493,0.326635,0.008000,73389.740229,8
23,0.036517,0.959770,2.096517,0.287068,0.008000,73389.740229,8
24,0.033682,0.960725,2.090007,0.301495,0.008000,73389.740229,8
25,0.033086,0.960896,2.380534,0.286199,0.008000,73389.740229,8
26,0.031193,0.961532,2.112427,0.318589,0.008000,73389.740229,8
27,0.031084,0.961553,1.589762,0.399628,0.008000,73389.740229,8
28,0.029625,0.962048,2.377767,0.310630,0.008000,73389.740229,8
29,0.028108,0.962545,2.782552,0.301536,0.008000,73389.740229,8
30,0.026886,0.962958,2.287598,0.359635,0.008000,73389.740229,8
31,0.025924,0.963290,2.131226,0.365466,0.008000,73389.740229,8
32,0.024976,0.963597,1.947062,0.426494,0.008000,73389.740229,8
33,0.023732,0.964027,1.949422,0.464373,0.008000,73389.740229,8
34,0.023425,0.964130,1.710368,0.524961,0.008000,73389.740229,8
35,0.023331,0.964140,1.807861,0.504439,0.008000,73389.740229,8
36,0.023225,0.964165,1.404948,0.592771,0.008000,73389.740229,8
37,0.021820,0.964671,0.678650,0.756959,0.008000,73389.740229,8
38,0.022063,0.964551,0.912069,0.717063,0.008000,73389.740229,8
39,0.178026,0.933561,,0.893387,0.008000,73389.740229,8
40,0.279489,0.894090,,0.893387,0.008000,73389.740229,8
41,0.209079,0.901807,,0.893379,0.008000,73389.740229,8
42,0.155788,0.919854,303.135437,0.893387,0.008000,73389.740229,8
