,time_per_epoch,loss,lr,training_time,test_time,iou
0,33.945749,0.719395,0.014000,99.987483,2.183842,0.078397
1,3.376254,0.561176,0.014000,99.987483,2.183842,0.078397
2,3.332137,0.479364,0.014000,99.987483,2.183842,0.078397
3,3.347782,0.379592,0.014000,99.987483,2.183842,0.078397
4,3.370306,0.337880,0.014000,99.987483,2.183842,0.078397
5,3.369262,0.319332,0.014000,99.987483,2.183842,0.078397
6,3.342919,0.307527,0.014000,99.987483,2.183842,0.078397
7,3.345116,0.297490,0.014000,99.987483,2.183842,0.078397
8,3.376118,0.271065,0.014000,99.987483,2.183842,0.078397
9,3.333897,0.256615,0.014000,99.987483,2.183842,0.078397
10,3.355401,0.252452,0.014000,99.987483,2.183842,0.078397
11,3.368614,0.232548,0.014000,99.987483,2.183842,0.078397
12,3.352397,0.212053,0.014000,99.987483,2.183842,0.078397
13,3.333015,0.211842,0.014000,99.987483,2.183842,0.078397
14,3.350114,0.212446,0.014000,99.987483,2.183842,0.078397
15,3.355923,0.192635,0.014000,99.987483,2.183842,0.078397
16,3.391420,0.178367,0.014000,99.987483,2.183842,0.078397
17,3.382132,0.160810,0.014000,99.987483,2.183842,0.078397
18,3.370457,0.154984,0.014000,99.987483,2.183842,0.078397
19,3.366060,0.146871,0.014000,99.987483,2.183842,0.078397
