,time_per_epoch,loss,val_loss,lr,training_time,test_time,iou
0,47.759541,0.581123,14.973227,0.006000,1587.875251,0.561749,0.952671
1,7.831844,0.424878,13.333050,0.006000,1587.875251,0.561749,0.952671
2,7.666770,0.352654,0.518248,0.006000,1587.875251,0.561749,0.952671
3,7.818995,0.294385,0.520643,0.006000,1587.875251,0.561749,0.952671
4,7.796145,0.255263,0.874042,0.006000,1587.875251,0.561749,0.952671
5,7.792953,0.219748,15.225045,0.006000,1587.875251,0.561749,0.952671
6,7.706675,0.198271,25.986668,0.006000,1587.875251,0.561749,0.952671
7,7.764736,0.180551,59.053108,0.006000,1587.875251,0.561749,0.952671
8,7.708754,0.155126,19.465252,0.006000,1587.875251,0.561749,0.952671
9,7.770353,0.136839,19.000435,0.006000,1587.875251,0.561749,0.952671
10,7.683693,0.137893,6.965145,0.006000,1587.875251,0.561749,0.952671
11,7.766322,0.126865,6.378996,0.006000,1587.875251,0.561749,0.952671
12,7.755871,0.114112,6.976633,0.006000,1587.875251,0.561749,0.952671
13,7.688233,0.107662,4.931670,0.006000,1587.875251,0.561749,0.952671
14,7.651796,0.105961,2.712133,0.006000,1587.875251,0.561749,0.952671
15,7.706511,0.092784,3.271068,0.006000,1587.875251,0.561749,0.952671
16,7.823175,0.088143,2.255068,0.006000,1587.875251,0.561749,0.952671
17,7.675640,0.088195,0.828480,0.006000,1587.875251,0.561749,0.952671
18,7.590817,0.083852,0.661079,0.006000,1587.875251,0.561749,0.952671
19,7.905670,0.080303,0.604085,0.006000,1587.875251,0.561749,0.952671
20,7.696460,0.068989,0.932248,0.006000,1587.875251,0.561749,0.952671
21,7.679318,0.067748,0.224942,0.006000,1587.875251,0.561749,0.952671
22,7.798917,0.066470,0.253127,0.006000,1587.875251,0.561749,0.952671
23,7.675819,0.067211,0.317799,0.006000,1587.875251,0.561749,0.952671
24,7.687772,0.061557,0.241306,0.006000,1587.875251,0.561749,0.952671
25,7.790612,0.059305,0.180958,0.006000,1587.875251,0.561749,0.952671
26,7.774481,0.058908,0.206577,0.006000,1587.875251,0.561749,0.952671
27,7.603287,0.052746,0.282421,0.006000,1587.875251,0.561749,0.952671
28,7.756763,0.051906,0.614260,0.006000,1587.875251,0.561749,0.952671
29,7.793797,0.053665,0.464675,0.006000,1587.875251,0.561749,0.952671
30,7.704264,0.051260,0.436388,0.006000,1587.875251,0.561749,0.952671
31,7.628840,0.048367,0.158434,0.006000,1587.875251,0.561749,0.952671
32,7.770681,0.045632,0.311983,0.006000,1587.875251,0.561749,0.952671
33,7.735573,0.045272,0.329257,0.006000,1587.875251,0.561749,0.952671
34,7.777713,0.045199,0.285250,0.006000,1587.875251,0.561749,0.952671
35,7.739037,0.045795,0.255239,0.006000,1587.875251,0.561749,0.952671
36,7.772690,0.045467,0.164216,0.006000,1587.875251,0.561749,0.952671
37,7.617060,0.043393,0.113617,0.006000,1587.875251,0.561749,0.952671
38,7.835363,0.042185,0.070747,0.006000,1587.875251,0.561749,0.952671
39,7.651576,0.040059,0.089582,0.006000,1587.875251,0.561749,0.952671
40,7.821336,0.037847,0.117168,0.006000,1587.875251,0.561749,0.952671
41,7.753465,0.038934,0.053935,0.006000,1587.875251,0.561749,0.952671
42,7.676003,0.036735,0.121565,0.006000,1587.875251,0.561749,0.952671
43,7.711429,0.040006,0.199552,0.006000,1587.875251,0.561749,0.952671
44,7.712893,0.036840,0.119586,0.006000,1587.875251,0.561749,0.952671
45,7.768406,0.034083,0.239858,0.006000,1587.875251,0.561749,0.952671
