""
me_per_epoch,loss,lr,training_time,test_time,iou
135,7.022748,0.014948,0.001500,1450.142541,2.345285,0.934527
136,7.028038,0.015197,0.001500,1450.142541,2.345285,0.934527
137,7.040615,0.015118,0.001500,1450.142541,2.345285,0.934527
138,7.042024,0.014699,0.001500,1450.142541,2.345285,0.934527
139,7.043096,0.014354,0.001500,1450.142541,2.345285,0.934527
140,7.045588,0.014147,0.001500,1450.142541,2.345285,0.934527
141,7.032470,0.014076,0.001500,1450.142541,2.345285,0.934527
142,7.038110,0.014022,0.001500,1450.142541,2.345285,0.934527
143,7.030595,0.013942,0.001500,1450.142541,2.345285,0.934527
144,7.026673,0.013895,0.001500,1450.142541,2.345285,0.934527
145,7.013228,0.013945,0.001500,1450.142541,2.345285,0.934527
146,7.018060,0.014112,0.001500,1450.142541,2.345285,0.934527
147,7.035990,0.014450,0.001500,1450.142541,2.345285,0.934527
148,7.051084,0.014882,0.001500,1450.142541,2.345285,0.934527
149,7.007876,0.014957,0.001500,1450.142541,2.345285,0.934527
150,7.036549,0.014629,0.001500,1450.142541,2.345285,0.934527
151,7.029230,0.014031,0.000750,1450.142541,2.345285,0.934527
152,7.017558,0.013644,0.000750,1450.142541,2.345285,0.934527
153,7.034182,0.013519,0.000750,1450.142541,2.345285,0.934527
154,7.032129,0.013391,0.000750,1450.142541,2.345285,0.934527
155,7.049144,0.013293,0.000750,1450.142541,2.345285,0.934527
156,7.043125,0.013207,0.000750,1450.142541,2.345285,0.934527
157,7.063465,0.013134,0.000750,1450.142541,2.345285,0.934527
158,7.024329,0.013066,0.000750,1450.142541,2.345285,0.934527
159,7.039826,0.013007,0.000750,1450.142541,2.345285,0.934527
160,7.035705,0.012954,0.000750,1450.142541,2.345285,0.934527
161,7.009853,0.012906,0.000750,1450.142541,2.345285,0.934527
162,7.063780,0.012861,0.000750,1450.142541,2.345285,0.934527
163,7.064002,0.012820,0.000750,1450.142541,2.345285,0.934527
164,7.063961,0.012781,0.000750,1450.142541,2.345285,0.934527
165,7.037702,0.012744,0.000750,1450.142541,2.345285,0.934527
166,7.025243,0.012709,0.000750,1450.142541,2.345285,0.934527
167,7.041184,0.012676,0.000750,1450.142541,2.345285,0.934527
168,7.052018,0.012644,0.000750,1450.142541,2.345285,0.934527
169,7.027668,0.012613,0.000750,1450.142541,2.345285,0.934527
170,7.029809,0.012583,0.000750,1450.142541,2.345285,0.934527
171,7.010845,0.012553,0.000750,1450.142541,2.345285,0.934527
172,7.049387,0.012524,0.000750,1450.142541,2.345285,0.934527
173,7.016145,0.012495,0.000750,1450.142541,2.345285,0.934527
174,7.031893,0.012467,0.000750,1450.142541,2.345285,0.934527
175,7.021507,0.012440,0.000750,1450.142541,2.345285,0.934527
176,7.015440,0.012413,0.000750,1450.142541,2.345285,0.934527
177,7.027519,0.012387,0.000750,1450.142541,2.345285,0.934527
178,7.028294,0.012361,0.000750,1450.142541,2.345285,0.934527
179,7.052334,0.012334,0.000750,1450.142541,2.345285,0.934527
180,7.058029,0.012308,0.000750,1450.142541,2.345285,0.934527
181,7.013651,0.012282,0.000750,1450.142541,2.345285,0.934527
182,7.005199,0.012257,0.000750,1450.142541,2.345285,0.934527
183,7.018977,0.012231,0.000750,1450.142541,2.345285,0.934527
184,7.021041,0.012206,0.000750,1450.142541,2.345285,0.934527
185,7.043168,0.012181,0.000750,1450.142541,2.345285,0.934527
186,7.037758,0.012156,0.000750,1450.142541,2.345285,0.934527
187,7.025021,0.012133,0.000750,1450.142541,2.345285,0.934527
188,7.052101,0.012110,0.000750,1450.142541,2.345285,0.934527
189,7.013653,0.012088,0.000750,1450.142541,2.345285,0.934527
190,7.039740,0.012067,0.000750,1450.142541,2.345285,0.934527
191,7.037046,0.012047,0.000750,1450.142541,2.345285,0.934527
192,7.010459,0.012029,0.000750,1450.142541,2.345285,0.934527
193,7.024016,0.012014,0.000750,1450.142541,2.345285,0.934527
194,7.031319,0.012004,0.000750,1450.142541,2.345285,0.934527
195,7.029616,0.012000,0.000750,1450.142541,2.345285,0.934527
196,7.027952,0.012005,0.000750,1450.142541,2.345285,0.934527
197,7.028922,0.012026,0.000750,1450.142541,2.345285,0.934527
198,7.011806,0.012065,0.000750,1450.142541,2.345285,0.934527
199,7.034986,0.012142,0.000750,1450.142541,2.345285,0.934527
