""
me_per_epoch,loss,lr,training_time,test_time,iou
0,31.972360,0.669593,0.006000,1450.142541,2.345285,0.934527
1,6.993023,0.439576,0.006000,1450.142541,2.345285,0.934527
2,7.004979,0.371202,0.006000,1450.142541,2.345285,0.934527
3,7.032048,0.331117,0.006000,1450.142541,2.345285,0.934527
4,7.045631,0.297292,0.006000,1450.142541,2.345285,0.934527
5,7.008863,0.273294,0.006000,1450.142541,2.345285,0.934527
6,7.033192,0.251943,0.006000,1450.142541,2.345285,0.934527
7,7.021210,0.215152,0.006000,1450.142541,2.345285,0.934527
8,7.008908,0.184841,0.006000,1450.142541,2.345285,0.934527
9,7.011784,0.157841,0.006000,1450.142541,2.345285,0.934527
10,7.055561,0.141771,0.006000,1450.142541,2.345285,0.934527
11,7.041126,0.136582,0.006000,1450.142541,2.345285,0.934527
12,7.033923,0.123324,0.006000,1450.142541,2.345285,0.934527
13,7.015695,0.114763,0.006000,1450.142541,2.345285,0.934527
14,6.999518,0.108085,0.006000,1450.142541,2.345285,0.934527
15,7.028262,0.097775,0.006000,1450.142541,2.345285,0.934527
16,7.003357,0.090686,0.006000,1450.142541,2.345285,0.934527
17,7.018891,0.087520,0.006000,1450.142541,2.345285,0.934527
18,7.036775,0.082984,0.006000,1450.142541,2.345285,0.934527
19,7.022676,0.080887,0.006000,1450.142541,2.345285,0.934527
20,7.049634,0.077118,0.006000,1450.142541,2.345285,0.934527
21,7.031136,0.071853,0.006000,1450.142541,2.345285,0.934527
22,7.020436,0.068572,0.006000,1450.142541,2.345285,0.934527
23,7.017553,0.064506,0.006000,1450.142541,2.345285,0.934527
24,7.020397,0.061258,0.006000,1450.142541,2.345285,0.934527
25,7.035960,0.058165,0.006000,1450.142541,2.345285,0.934527
26,7.027307,0.056529,0.006000,1450.142541,2.345285,0.934527
27,7.010750,0.055121,0.006000,1450.142541,2.345285,0.934527
28,7.042170,0.051561,0.006000,1450.142541,2.345285,0.934527
29,7.036842,0.049494,0.006000,1450.142541,2.345285,0.934527
30,6.999724,0.051351,0.006000,1450.142541,2.345285,0.934527
31,7.042085,0.057974,0.006000,1450.142541,2.345285,0.934527
32,7.048555,0.051328,0.006000,1450.142541,2.345285,0.934527
33,7.034057,0.047638,0.006000,1450.142541,2.345285,0.934527
34,7.007171,0.045115,0.006000,1450.142541,2.345285,0.934527
35,7.021281,0.044594,0.006000,1450.142541,2.345285,0.934527
36,7.033437,0.044236,0.006000,1450.142541,2.345285,0.934527
37,7.008543,0.041357,0.006000,1450.142541,2.345285,0.934527
38,7.022678,0.040247,0.006000,1450.142541,2.345285,0.934527
39,7.025852,0.038971,0.006000,1450.142541,2.345285,0.934527
40,7.018498,0.037577,0.006000,1450.142541,2.345285,0.934527
41,7.048520,0.036676,0.006000,1450.142541,2.345285,0.934527
42,7.018785,0.036285,0.006000,1450.142541,2.345285,0.934527
43,7.032397,0.035508,0.006000,1450.142541,2.345285,0.934527
44,7.053005,0.035569,0.006000,1450.142541,2.345285,0.934527
45,7.000710,0.033189,0.006000,1450.142541,2.345285,0.934527
46,7.034833,0.031705,0.006000,1450.142541,2.345285,0.934527
47,7.029272,0.031249,0.006000,1450.142541,2.345285,0.934527
48,7.003564,0.031174,0.006000,1450.142541,2.345285,0.934527
49,7.041213,0.030293,0.006000,1450.142541,2.345285,0.934527
50,7.019642,0.030344,0.006000,1450.142541,2.345285,0.934527
51,7.043163,0.029875,0.006000,1450.142541,2.345285,0.934527
52,7.021773,0.029774,0.006000,1450.142541,2.345285,0.934527
53,7.045890,0.029371,0.006000,1450.142541,2.345285,0.934527
54,7.006573,0.028805,0.006000,1450.142541,2.345285,0.934527
55,7.029008,0.028956,0.006000,1450.142541,2.345285,0.934527
56,7.026902,0.028544,0.006000,1450.142541,2.345285,0.934527
57,7.011882,0.027783,0.006000,1450.142541,2.345285,0.934527
58,7.037796,0.032220,0.006000,1450.142541,2.345285,0.934527
59,7.038396,0.036682,0.006000,1450.142541,2.345285,0.934527
60,7.006908,0.030473,0.006000,1450.142541,2.345285,0.934527
61,7.022133,0.027949,0.006000,1450.142541,2.345285,0.934527
62,7.008958,0.026801,0.006000,1450.142541,2.345285,0.934527
63,7.032444,0.025755,0.006000,1450.142541,2.345285,0.934527
64,7.028034,0.024994,0.006000,1450.142541,2.345285,0.934527
65,6.991661,0.025600,0.006000,1450.142541,2.345285,0.934527
66,7.009336,0.025040,0.006000,1450.142541,2.345285,0.934527
67,7.036289,0.024045,0.006000,1450.142541,2.345285,0.934527
68,7.026758,0.023582,0.006000,1450.142541,2.345285,0.934527
69,7.013179,0.022909,0.006000,1450.142541,2.345285,0.934527
70,7.028697,0.022417,0.006000,1450.142541,2.345285,0.934527
71,7.041336,0.022366,0.006000,1450.142541,2.345285,0.934527
72,7.024934,0.022502,0.006000,1450.142541,2.345285,0.934527
73,7.030723,0.022687,0.006000,1450.142541,2.345285,0.934527
74,7.055427,0.021906,0.006000,1450.142541,2.345285,0.934527
75,7.010324,0.021716,0.006000,1450.142541,2.345285,0.934527
76,6.997341,0.021528,0.006000,1450.142541,2.345285,0.934527
77,7.029599,0.021287,0.006000,1450.142541,2.345285,0.934527
78,7.045716,0.020967,0.006000,1450.142541,2.345285,0.934527
79,7.036463,0.020850,0.006000,1450.142541,2.345285,0.934527
80,7.028690,0.020106,0.003000,1450.142541,2.345285,0.934527
81,7.060936,0.020147,0.003000,1450.142541,2.345285,0.934527
82,6.992847,0.020025,0.003000,1450.142541,2.345285,0.934527
