,time_per_epoch,loss,lr,training_time,test_time,iou
0,50.334454,0.527583,0.012000,674.087507,0.124918,0.917041
1,3.132908,0.356933,0.012000,674.087507,0.124918,0.917041
2,3.125586,0.323425,0.012000,674.087507,0.124918,0.917041
3,3.119539,0.300255,0.012000,674.087507,0.124918,0.917041
4,3.125510,0.282464,0.012000,674.087507,0.124918,0.917041
5,3.131535,0.270504,0.012000,674.087507,0.124918,0.917041
6,3.128933,0.251609,0.012000,674.087507,0.124918,0.917041
7,3.134528,0.219075,0.012000,674.087507,0.124918,0.917041
8,3.129498,0.206754,0.012000,674.087507,0.124918,0.917041
9,3.124696,0.198673,0.012000,674.087507,0.124918,0.917041
10,3.135110,0.191861,0.012000,674.087507,0.124918,0.917041
11,3.131837,0.183621,0.012000,674.087507,0.124918,0.917041
12,3.123346,0.175032,0.012000,674.087507,0.124918,0.917041
13,3.128317,0.160075,0.012000,674.087507,0.124918,0.917041
14,3.135530,0.154085,0.012000,674.087507,0.124918,0.917041
15,3.136101,0.158502,0.012000,674.087507,0.124918,0.917041
16,3.124135,0.135641,0.012000,674.087507,0.124918,0.917041
17,3.130366,0.139839,0.012000,674.087507,0.124918,0.917041
18,3.125286,0.142017,0.012000,674.087507,0.124918,0.917041
19,3.132174,0.130797,0.012000,674.087507,0.124918,0.917041
20,3.127754,0.123929,0.012000,674.087507,0.124918,0.917041
21,3.126479,0.121395,0.012000,674.087507,0.124918,0.917041
22,3.132222,0.122095,0.012000,674.087507,0.124918,0.917041
23,3.129288,0.113049,0.012000,674.087507,0.124918,0.917041
24,3.126434,0.122326,0.012000,674.087507,0.124918,0.917041
25,3.125679,0.118470,0.012000,674.087507,0.124918,0.917041
26,3.121123,0.111615,0.012000,674.087507,0.124918,0.917041
27,3.129107,0.111602,0.012000,674.087507,0.124918,0.917041
28,3.124830,0.104161,0.012000,674.087507,0.124918,0.917041
29,3.123249,0.102076,0.012000,674.087507,0.124918,0.917041
30,3.128052,0.097268,0.012000,674.087507,0.124918,0.917041
31,3.132736,0.100947,0.012000,674.087507,0.124918,0.917041
32,3.129404,0.093130,0.012000,674.087507,0.124918,0.917041
33,3.137138,0.091332,0.012000,674.087507,0.124918,0.917041
34,3.130852,0.091697,0.012000,674.087507,0.124918,0.917041
35,3.127753,0.087999,0.012000,674.087507,0.124918,0.917041
36,3.127740,0.089153,0.012000,674.087507,0.124918,0.917041
37,3.128058,0.087439,0.012000,674.087507,0.124918,0.917041
38,3.130627,0.083701,0.012000,674.087507,0.124918,0.917041
39,3.127973,0.082114,0.012000,674.087507,0.124918,0.917041
40,3.132184,0.078928,0.012000,674.087507,0.124918,0.917041
41,3.133528,0.081701,0.012000,674.087507,0.124918,0.917041
42,3.128752,0.076879,0.012000,674.087507,0.124918,0.917041
43,3.132703,0.077404,0.012000,674.087507,0.124918,0.917041
