,time_per_epoch,loss,lr,training_time,test_time,iou
0,37.604845,0.355332,0.010000,1001.800054,1.760342,0.910477
1,4.747732,0.292747,0.010000,1001.800054,1.760342,0.910477
2,4.738053,0.267427,0.010000,1001.800054,1.760342,0.910477
3,4.755142,0.240678,0.010000,1001.800054,1.760342,0.910477
4,4.735418,0.211710,0.010000,1001.800054,1.760342,0.910477
5,4.739433,0.189567,0.010000,1001.800054,1.760342,0.910477
6,4.732233,0.179145,0.010000,1001.800054,1.760342,0.910477
7,4.736966,0.164638,0.010000,1001.800054,1.760342,0.910477
8,4.718468,0.161546,0.010000,1001.800054,1.760342,0.910477
9,4.761247,0.156379,0.010000,1001.800054,1.760342,0.910477
10,4.745589,0.148385,0.010000,1001.800054,1.760342,0.910477
11,4.739860,0.135151,0.010000,1001.800054,1.760342,0.910477
12,4.729601,0.132137,0.010000,1001.800054,1.760342,0.910477
13,4.704183,0.116735,0.010000,1001.800054,1.760342,0.910477
14,4.745922,0.109047,0.010000,1001.800054,1.760342,0.910477
15,4.753390,0.103174,0.010000,1001.800054,1.760342,0.910477
16,4.738434,0.101111,0.010000,1001.800054,1.760342,0.910477
17,4.780245,0.096769,0.010000,1001.800054,1.760342,0.910477
18,4.755731,0.090224,0.010000,1001.800054,1.760342,0.910477
19,4.719985,0.087014,0.010000,1001.800054,1.760342,0.910477
20,4.755099,0.091806,0.010000,1001.800054,1.760342,0.910477
21,4.759560,0.095462,0.010000,1001.800054,1.760342,0.910477
22,4.779981,0.085356,0.010000,1001.800054,1.760342,0.910477
23,4.759897,0.078985,0.010000,1001.800054,1.760342,0.910477
24,4.733462,0.076136,0.010000,1001.800054,1.760342,0.910477
25,4.715612,0.072074,0.010000,1001.800054,1.760342,0.910477
26,4.761578,0.071228,0.010000,1001.800054,1.760342,0.910477
27,4.709580,0.066622,0.010000,1001.800054,1.760342,0.910477
28,4.749436,0.064269,0.010000,1001.800054,1.760342,0.910477
29,4.728021,0.066018,0.010000,1001.800054,1.760342,0.910477
30,4.751889,0.066428,0.010000,1001.800054,1.760342,0.910477
31,4.722218,0.060448,0.010000,1001.800054,1.760342,0.910477
32,4.771315,0.057892,0.010000,1001.800054,1.760342,0.910477
33,4.742837,0.055723,0.010000,1001.800054,1.760342,0.910477
34,4.725836,0.055469,0.010000,1001.800054,1.760342,0.910477
35,4.743433,0.054143,0.010000,1001.800054,1.760342,0.910477
36,4.736934,0.052728,0.010000,1001.800054,1.760342,0.910477
37,4.723269,0.050783,0.010000,1001.800054,1.760342,0.910477
38,4.765151,0.049188,0.010000,1001.800054,1.760342,0.910477
39,4.736797,0.048436,0.010000,1001.800054,1.760342,0.910477
40,4.729721,0.045695,0.010000,1001.800054,1.760342,0.910477
41,4.713813,0.044295,0.010000,1001.800054,1.760342,0.910477
42,4.761744,0.044786,0.010000,1001.800054,1.760342,0.910477
43,4.768467,0.045517,0.010000,1001.800054,1.760342,0.910477
44,4.750413,0.044489,0.010000,1001.800054,1.760342,0.910477
45,4.745696,0.041654,0.010000,1001.800054,1.760342,0.910477
46,4.775465,0.039624,0.010000,1001.800054,1.760342,0.910477
