,time_per_epoch,loss,lr,training_time,test_time,iou
0,50.153112,0.635462,0.004000,1960.622377,0.658449,0.919546
1,9.610037,0.429766,0.004000,1960.622377,0.658449,0.919546
2,9.583249,0.351570,0.004000,1960.622377,0.658449,0.919546
3,9.616308,0.302849,0.004000,1960.622377,0.658449,0.919546
4,9.587059,0.255506,0.004000,1960.622377,0.658449,0.919546
5,9.603560,0.211756,0.004000,1960.622377,0.658449,0.919546
6,9.584005,0.187034,0.004000,1960.622377,0.658449,0.919546
7,9.594006,0.159909,0.004000,1960.622377,0.658449,0.919546
8,9.606148,0.136868,0.004000,1960.622377,0.658449,0.919546
9,9.592110,0.124928,0.004000,1960.622377,0.658449,0.919546
10,9.599368,0.109700,0.004000,1960.622377,0.658449,0.919546
11,9.596840,0.101759,0.004000,1960.622377,0.658449,0.919546
12,9.614043,0.085950,0.004000,1960.622377,0.658449,0.919546
13,9.589573,0.088653,0.004000,1960.622377,0.658449,0.919546
14,9.584147,0.080209,0.004000,1960.622377,0.658449,0.919546
15,9.580572,0.066571,0.004000,1960.622377,0.658449,0.919546
16,9.607611,0.063611,0.004000,1960.622377,0.658449,0.919546
17,9.608490,0.061435,0.004000,1960.622377,0.658449,0.919546
18,9.586060,0.057527,0.004000,1960.622377,0.658449,0.919546
19,9.601518,0.059465,0.004000,1960.622377,0.658449,0.919546
20,9.622648,0.054401,0.004000,1960.622377,0.658449,0.919546
21,9.596640,0.051907,0.004000,1960.622377,0.658449,0.919546
22,9.601668,0.046369,0.004000,1960.622377,0.658449,0.919546
23,9.633854,0.045244,0.004000,1960.622377,0.658449,0.919546
24,9.615420,0.044610,0.004000,1960.622377,0.658449,0.919546
25,9.623788,0.042848,0.004000,1960.622377,0.658449,0.919546
26,9.582486,0.041548,0.004000,1960.622377,0.658449,0.919546
27,9.603320,0.041410,0.004000,1960.622377,0.658449,0.919546
28,9.590993,0.038437,0.004000,1960.622377,0.658449,0.919546
29,9.579920,0.036749,0.004000,1960.622377,0.658449,0.919546
30,9.609508,0.038585,0.004000,1960.622377,0.658449,0.919546
31,9.615731,0.036203,0.004000,1960.622377,0.658449,0.919546
32,9.621237,0.035911,0.004000,1960.622377,0.658449,0.919546
33,9.591729,0.036790,0.004000,1960.622377,0.658449,0.919546
34,9.593526,0.034489,0.004000,1960.622377,0.658449,0.919546
35,9.587086,0.031820,0.004000,1960.622377,0.658449,0.919546
36,9.584094,0.030719,0.004000,1960.622377,0.658449,0.919546
37,9.597550,0.032245,0.004000,1960.622377,0.658449,0.919546
38,9.632581,0.030741,0.004000,1960.622377,0.658449,0.919546
39,9.623961,0.029006,0.004000,1960.622377,0.658449,0.919546
40,9.618567,0.029200,0.004000,1960.622377,0.658449,0.919546
41,9.624254,0.030152,0.004000,1960.622377,0.658449,0.919546
42,9.602451,0.027645,0.004000,1960.622377,0.658449,0.919546
43,9.567585,0.027331,0.004000,1960.622377,0.658449,0.919546
44,9.601623,0.026124,0.004000,1960.622377,0.658449,0.919546
45,9.586305,0.024861,0.004000,1960.622377,0.658449,0.919546
46,9.585112,0.024637,0.004000,1960.622377,0.658449,0.919546
47,9.603774,0.025961,0.004000,1960.622377,0.658449,0.919546
48,9.603826,0.025642,0.004000,1960.622377,0.658449,0.919546
49,9.617146,0.025402,0.004000,1960.622377,0.658449,0.919546
50,9.600918,0.024100,0.004000,1960.622377,0.658449,0.919546
51,9.594530,0.023320,0.004000,1960.622377,0.658449,0.919546
52,9.581447,0.022256,0.004000,1960.622377,0.658449,0.919546
53,9.603129,0.021741,0.004000,1960.622377,0.658449,0.919546
