,loss,val_loss,lr,training_time,test_time,iou
0,0.563682,10.315633,0.006000,2239.415970,0.747192,0.254795
1,0.227985,26.044270,0.011000,2239.415970,0.747192,0.254795
2,0.085532,,0.016000,2239.415970,0.747192,0.254795
3,0.060030,7.804769,0.016000,2239.415970,0.747192,0.254795
4,0.039439,0.884045,0.016000,2239.415970,0.747192,0.254795
5,0.032237,0.340608,0.016000,2239.415970,0.747192,0.254795
6,0.026218,0.384414,0.016000,2239.415970,0.747192,0.254795
7,0.023051,0.327336,0.016000,2239.415970,0.747192,0.254795
8,0.021759,0.372090,0.016000,2239.415970,0.747192,0.254795
9,0.020619,0.393521,0.016000,2239.415970,0.747192,0.254795
10,0.022483,0.487681,0.016000,2239.415970,0.747192,0.254795
11,0.019779,0.227113,0.016000,2239.415970,0.747192,0.254795
12,0.017378,0.341642,0.016000,2239.415970,0.747192,0.254795
13,0.015595,0.232275,0.016000,2239.415970,0.747192,0.254795
14,0.014375,0.141103,0.016000,2239.415970,0.747192,0.254795
15,0.013774,0.095418,0.016000,2239.415970,0.747192,0.254795
16,0.013203,0.167654,0.016000,2239.415970,0.747192,0.254795
17,0.013096,0.040839,0.016000,2239.415970,0.747192,0.254795
18,0.013318,0.033082,0.016000,2239.415970,0.747192,0.254795
19,0.013189,0.019671,0.016000,2239.415970,0.747192,0.254795
20,0.012849,0.037662,0.016000,2239.415970,0.747192,0.254795
21,0.013044,0.216177,0.016000,2239.415970,0.747192,0.254795
22,0.013055,0.433744,0.016000,2239.415970,0.747192,0.254795
23,0.013206,0.283047,0.016000,2239.415970,0.747192,0.254795
24,0.012358,0.323893,0.016000,2239.415970,0.747192,0.254795
