,loss,val_loss,lr,training_time,test_time,iou
0,0.271066,0.250598,0.002000,957.773346,1.049484,0.921956
1,0.079742,0.300310,0.003000,957.773346,1.049484,0.921956
2,0.043826,0.081498,0.004000,957.773346,1.049484,0.921956
3,0.030042,0.031704,0.004000,957.773346,1.049484,0.921956
4,0.022007,0.036237,0.004000,957.773346,1.049484,0.921956
5,0.022308,0.022606,0.004000,957.773346,1.049484,0.921956
6,0.017779,0.019185,0.004000,957.773346,1.049484,0.921956
7,0.015222,0.038393,0.004000,957.773346,1.049484,0.921956
8,0.017555,0.018461,0.004000,957.773346,1.049484,0.921956
9,0.015848,0.018676,0.004000,957.773346,1.049484,0.921956
10,0.015327,0.017630,0.004000,957.773346,1.049484,0.921956
11,0.013652,0.027294,0.004000,957.773346,1.049484,0.921956
12,0.014042,0.015160,0.004000,957.773346,1.049484,0.921956
13,0.012330,0.013858,0.004000,957.773346,1.049484,0.921956
14,0.011568,0.013981,0.004000,957.773346,1.049484,0.921956
15,0.010999,0.013700,0.004000,957.773346,1.049484,0.921956
16,0.015243,0.165253,0.004000,957.773346,1.049484,0.921956
17,0.016279,0.072263,0.004000,957.773346,1.049484,0.921956
18,0.013215,0.127931,0.004000,957.773346,1.049484,0.921956
19,0.013059,0.024872,0.004000,957.773346,1.049484,0.921956
20,0.015848,0.014084,0.004000,957.773346,1.049484,0.921956
21,0.012301,0.013053,0.004000,957.773346,1.049484,0.921956
22,0.010591,0.012530,0.004000,957.773346,1.049484,0.921956
23,0.009857,0.012873,0.004000,957.773346,1.049484,0.921956
24,0.009330,0.012222,0.004000,957.773346,1.049484,0.921956
