,loss,val_loss,lr,training_time,test_time,iou
0,0.476170,0.724915,0.004667,1809.665262,0.781850,0.289470
1,0.153507,3.014642,0.008333,1809.665262,0.781850,0.289470
2,0.065117,0.657435,0.012000,1809.665262,0.781850,0.289470
3,0.037292,0.360427,0.012000,1809.665262,0.781850,0.289470
4,0.027835,0.373021,0.012000,1809.665262,0.781850,0.289470
5,0.024209,0.383988,0.012000,1809.665262,0.781850,0.289470
6,0.022571,2.155902,0.012000,1809.665262,0.781850,0.289470
7,0.018938,0.337995,0.012000,1809.665262,0.781850,0.289470
8,0.016829,0.440532,0.012000,1809.665262,0.781850,0.289470
9,0.017019,0.314226,0.012000,1809.665262,0.781850,0.289470
10,0.016656,0.022636,0.012000,1809.665262,0.781850,0.289470
11,0.016044,0.024596,0.012000,1809.665262,0.781850,0.289470
12,0.013931,0.032846,0.012000,1809.665262,0.781850,0.289470
13,0.013061,0.060269,0.012000,1809.665262,0.781850,0.289470
14,0.012411,0.052984,0.012000,1809.665262,0.781850,0.289470
15,0.012685,0.122968,0.012000,1809.665262,0.781850,0.289470
16,0.012021,0.016358,0.012000,1809.665262,0.781850,0.289470
17,0.011577,0.015663,0.012000,1809.665262,0.781850,0.289470
18,0.010889,0.015056,0.012000,1809.665262,0.781850,0.289470
19,0.010179,0.015818,0.012000,1809.665262,0.781850,0.289470
20,0.009751,0.015945,0.012000,1809.665262,0.781850,0.289470
21,0.010389,0.020615,0.012000,1809.665262,0.781850,0.289470
22,0.011445,0.037945,0.012000,1809.665262,0.781850,0.289470
23,0.018145,0.957632,0.012000,1809.665262,0.781850,0.289470
24,0.013337,0.395802,0.012000,1809.665262,0.781850,0.289470
