,loss,val_loss,lr,training_time,test_time,iou
0,0.275084,0.260894,0.003333,1477.944267,0.849316,0.151249
1,0.088602,0.342898,0.005667,1477.944267,0.849316,0.151249
2,0.048235,0.567002,0.008000,1477.944267,0.849316,0.151249
3,0.037649,0.064696,0.008000,1477.944267,0.849316,0.151249
4,0.027551,0.048090,0.008000,1477.944267,0.849316,0.151249
5,0.020513,0.348829,0.008000,1477.944267,0.849316,0.151249
6,0.017179,0.369361,0.008000,1477.944267,0.849316,0.151249
7,0.015919,0.168115,0.008000,1477.944267,0.849316,0.151249
8,0.019216,0.127392,0.008000,1477.944267,0.849316,0.151249
9,0.016387,0.260012,0.008000,1477.944267,0.849316,0.151249
10,0.014510,0.296555,0.008000,1477.944267,0.849316,0.151249
11,0.013681,0.051986,0.008000,1477.944267,0.849316,0.151249
12,0.012619,0.067702,0.008000,1477.944267,0.849316,0.151249
13,0.014403,0.101452,0.008000,1477.944267,0.849316,0.151249
14,0.013938,0.135160,0.008000,1477.944267,0.849316,0.151249
15,0.012749,0.038188,0.008000,1477.944267,0.849316,0.151249
16,0.011635,0.029258,0.008000,1477.944267,0.849316,0.151249
17,0.010996,0.093809,0.008000,1477.944267,0.849316,0.151249
18,0.010326,0.055257,0.008000,1477.944267,0.849316,0.151249
19,0.009792,0.031057,0.008000,1477.944267,0.849316,0.151249
20,0.009467,0.021647,0.008000,1477.944267,0.849316,0.151249
21,0.009557,0.014870,0.008000,1477.944267,0.849316,0.151249
22,0.009372,0.017086,0.008000,1477.944267,0.849316,0.151249
23,0.009560,0.014822,0.008000,1477.944267,0.849316,0.151249
24,0.019245,0.685619,0.008000,1477.944267,0.849316,0.151249
