,time_per_epoch,loss,val_loss,lr,training_time,test_time,iou
0,21.955928,0.497684,49.337410,0.008000,84.776372,3.359877,0.100969
1,0.740527,0.218564,280.503937,0.008000,84.776372,3.359877,0.100969
2,0.754993,0.130388,0.406685,0.008000,84.776372,3.359877,0.100969
3,0.753783,0.089844,0.210230,0.008000,84.776372,3.359877,0.100969
4,0.744801,0.070647,0.227437,0.008000,84.776372,3.359877,0.100969
5,0.752394,0.057855,0.294201,0.008000,84.776372,3.359877,0.100969
6,0.721306,0.052193,0.310077,0.008000,84.776372,3.359877,0.100969
7,0.718478,0.043621,0.293465,0.008000,84.776372,3.359877,0.100969
8,0.722888,0.037895,0.304405,0.008000,84.776372,3.359877,0.100969
9,0.717199,0.033394,0.297817,0.008000,84.776372,3.359877,0.100969
10,0.716403,0.030176,0.306065,0.008000,84.776372,3.359877,0.100969
11,0.722888,0.028618,0.319572,0.008000,84.776372,3.359877,0.100969
12,0.755206,0.029332,0.308505,0.008000,84.776372,3.359877,0.100969
13,0.767003,0.025422,0.311313,0.008000,84.776372,3.359877,0.100969
14,0.727719,0.022178,0.331381,0.008000,84.776372,3.359877,0.100969
15,0.715950,0.020261,0.320059,0.008000,84.776372,3.359877,0.100969
16,0.728042,0.018582,0.307199,0.008000,84.776372,3.359877,0.100969
17,0.725296,0.017471,0.310627,0.008000,84.776372,3.359877,0.100969
18,0.744639,0.016629,0.306408,0.008000,84.776372,3.359877,0.100969
19,0.770664,0.016091,0.320778,0.008000,84.776372,3.359877,0.100969
20,0.725249,0.016478,0.288400,0.008000,84.776372,3.359877,0.100969
21,0.721733,0.017887,0.142701,0.008000,84.776372,3.359877,0.100969
22,0.723759,0.017451,0.179480,0.008000,84.776372,3.359877,0.100969
23,0.760549,0.016591,0.109335,0.008000,84.776372,3.359877,0.100969
24,0.733204,0.015688,0.057611,0.008000,84.776372,3.359877,0.100969
25,0.733902,0.014906,0.096537,0.008000,84.776372,3.359877,0.100969
26,0.752647,0.014570,0.048496,0.008000,84.776372,3.359877,0.100969
27,0.727791,0.013908,0.037977,0.008000,84.776372,3.359877,0.100969
28,0.729717,0.013267,0.021971,0.008000,84.776372,3.359877,0.100969
29,0.719488,0.012772,0.029004,0.008000,84.776372,3.359877,0.100969
30,0.719213,0.012419,0.034198,0.008000,84.776372,3.359877,0.100969
31,0.758310,0.012093,0.035171,0.008000,84.776372,3.359877,0.100969
32,0.731964,0.011785,0.027690,0.008000,84.776372,3.359877,0.100969
33,0.739849,0.011611,0.021355,0.008000,84.776372,3.359877,0.100969
34,0.722182,0.011580,0.015610,0.008000,84.776372,3.359877,0.100969
35,0.716924,0.011458,0.015387,0.008000,84.776372,3.359877,0.100969
36,0.731166,0.011523,0.015980,0.008000,84.776372,3.359877,0.100969
37,0.743067,0.011622,0.026400,0.008000,84.776372,3.359877,0.100969
38,0.739952,0.011078,0.017681,0.008000,84.776372,3.359877,0.100969
39,0.731006,0.010911,0.015969,0.008000,84.776372,3.359877,0.100969
40,0.724383,0.010693,0.014527,0.008000,84.776372,3.359877,0.100969
41,0.730884,0.011263,0.015401,0.008000,84.776372,3.359877,0.100969
42,0.716680,0.011253,0.014453,0.008000,84.776372,3.359877,0.100969
43,0.726197,0.010976,0.015350,0.008000,84.776372,3.359877,0.100969
44,0.724106,0.011147,0.016503,0.008000,84.776372,3.359877,0.100969
45,0.723462,0.012368,0.033732,0.008000,84.776372,3.359877,0.100969
46,0.719046,0.013529,0.024308,0.008000,84.776372,3.359877,0.100969
47,0.722536,0.011825,0.028063,0.008000,84.776372,3.359877,0.100969
48,0.721528,0.010809,0.014288,0.008000,84.776372,3.359877,0.100969
49,0.722315,0.010546,0.015076,0.008000,84.776372,3.359877,0.100969
50,0.718102,0.010417,0.016891,0.008000,84.776372,3.359877,0.100969
51,0.717945,0.009991,0.014710,0.008000,84.776372,3.359877,0.100969
52,0.864591,0.010143,0.013149,0.008000,84.776372,3.359877,0.100969
53,0.726635,0.010485,0.018272,0.008000,84.776372,3.359877,0.100969
54,0.717622,0.010759,0.015457,0.008000,84.776372,3.359877,0.100969
55,0.727635,0.010257,0.013582,0.008000,84.776372,3.359877,0.100969
56,0.724417,0.009699,0.015203,0.008000,84.776372,3.359877,0.100969
57,0.721298,0.009378,0.020437,0.008000,84.776372,3.359877,0.100969
58,0.730768,0.009510,0.015166,0.008000,84.776372,3.359877,0.100969
59,0.747627,0.009627,0.013719,0.008000,84.776372,3.359877,0.100969
60,0.726695,0.009142,0.012502,0.004000,84.776372,3.359877,0.100969
61,0.733568,0.008365,0.012395,0.004000,84.776372,3.359877,0.100969
62,0.735952,0.007914,0.012755,0.004000,84.776372,3.359877,0.100969
63,0.732498,0.007636,0.012818,0.004000,84.776372,3.359877,0.100969
64,0.728084,0.007419,0.012906,0.004000,84.776372,3.359877,0.100969
65,0.729018,0.007244,0.013033,0.004000,84.776372,3.359877,0.100969
66,0.716466,0.007098,0.013127,0.004000,84.776372,3.359877,0.100969
67,0.734885,0.006983,0.013324,0.004000,84.776372,3.359877,0.100969
68,0.723103,0.006926,0.013632,0.004000,84.776372,3.359877,0.100969
69,0.726984,0.006952,0.013493,0.004000,84.776372,3.359877,0.100969
70,0.737475,0.007344,0.013156,0.002000,84.776372,3.359877,0.100969
71,0.730887,0.007301,0.012791,0.002000,84.776372,3.359877,0.100969
72,0.723730,0.007125,0.012576,0.002000,84.776372,3.359877,0.100969
73,0.755140,0.007063,0.012554,0.002000,84.776372,3.359877,0.100969
74,0.721862,0.007057,0.013238,0.002000,84.776372,3.359877,0.100969
75,0.725515,0.007124,0.013619,0.002000,84.776372,3.359877,0.100969
76,0.738118,0.007152,0.013068,0.002000,84.776372,3.359877,0.100969
77,0.728266,0.006968,0.013327,0.002000,84.776372,3.359877,0.100969
78,0.719767,0.006893,0.013417,0.002000,84.776372,3.359877,0.100969
79,0.766445,0.006914,0.013435,0.002000,84.776372,3.359877,0.100969
