,time_per_epoch,loss,val_loss,lr,training_time,test_time,iou
0,22.691004,0.533048,39.707081,0.012000,72.573052,3.915382,0.073005
1,0.576748,0.270015,136.407288,0.012000,72.573052,3.915382,0.073005
2,0.612793,0.162050,31.449825,0.012000,72.573052,3.915382,0.073005
3,0.595008,0.114032,2.005015,0.012000,72.573052,3.915382,0.073005
4,0.591053,0.085368,0.643362,0.012000,72.573052,3.915382,0.073005
5,0.605493,0.065126,0.618829,0.012000,72.573052,3.915382,0.073005
6,0.559080,0.050535,0.601447,0.012000,72.573052,3.915382,0.073005
7,0.606624,0.040526,0.990516,0.012000,72.573052,3.915382,0.073005
8,0.566371,0.034297,0.432696,0.012000,72.573052,3.915382,0.073005
9,0.558245,0.029977,0.393425,0.012000,72.573052,3.915382,0.073005
10,0.560326,0.025854,0.453164,0.012000,72.573052,3.915382,0.073005
11,0.561111,0.022387,0.516748,0.012000,72.573052,3.915382,0.073005
12,0.554778,0.020054,0.557958,0.012000,72.573052,3.915382,0.073005
13,0.604859,0.018608,0.509543,0.012000,72.573052,3.915382,0.073005
14,0.557557,0.017639,0.534545,0.012000,72.573052,3.915382,0.073005
15,0.570104,0.017195,0.565003,0.012000,72.573052,3.915382,0.073005
16,0.613706,0.016845,0.578937,0.012000,72.573052,3.915382,0.073005
17,0.574321,0.015903,0.581378,0.012000,72.573052,3.915382,0.073005
18,0.557454,0.014832,0.558187,0.012000,72.573052,3.915382,0.073005
19,0.551999,0.014137,0.528306,0.012000,72.573052,3.915382,0.073005
20,0.561238,0.013321,0.506611,0.012000,72.573052,3.915382,0.073005
21,0.590236,0.012903,0.511187,0.012000,72.573052,3.915382,0.073005
22,0.565984,0.012683,0.491784,0.012000,72.573052,3.915382,0.073005
23,0.559602,0.012557,0.482526,0.012000,72.573052,3.915382,0.073005
24,0.552590,0.012387,0.461547,0.012000,72.573052,3.915382,0.073005
25,0.561438,0.012390,0.391152,0.012000,72.573052,3.915382,0.073005
26,0.583897,0.012845,0.472897,0.012000,72.573052,3.915382,0.073005
27,0.609361,0.012633,0.423208,0.012000,72.573052,3.915382,0.073005
28,0.583088,0.012184,0.461285,0.012000,72.573052,3.915382,0.073005
29,0.607723,0.011595,0.388126,0.012000,72.573052,3.915382,0.073005
30,0.572941,0.011032,0.390713,0.012000,72.573052,3.915382,0.073005
31,0.577046,0.010646,0.368538,0.012000,72.573052,3.915382,0.073005
32,0.563485,0.010803,0.357654,0.012000,72.573052,3.915382,0.073005
33,0.586786,0.010843,0.251621,0.012000,72.573052,3.915382,0.073005
34,0.586504,0.010414,0.253742,0.012000,72.573052,3.915382,0.073005
35,0.573808,0.010193,0.166924,0.012000,72.573052,3.915382,0.073005
36,0.590582,0.010015,0.152386,0.012000,72.573052,3.915382,0.073005
37,0.575461,0.010144,0.151948,0.012000,72.573052,3.915382,0.073005
38,0.555737,0.010737,0.077570,0.012000,72.573052,3.915382,0.073005
39,0.564561,0.010684,0.048908,0.012000,72.573052,3.915382,0.073005
40,0.590176,0.012170,0.036037,0.012000,72.573052,3.915382,0.073005
41,0.558974,0.012332,0.020661,0.012000,72.573052,3.915382,0.073005
42,0.555932,0.011648,0.019549,0.012000,72.573052,3.915382,0.073005
43,0.564757,0.011066,0.019881,0.012000,72.573052,3.915382,0.073005
44,0.560197,0.010894,0.042514,0.012000,72.573052,3.915382,0.073005
45,0.580187,0.010413,0.039517,0.012000,72.573052,3.915382,0.073005
46,0.568376,0.010128,0.031815,0.012000,72.573052,3.915382,0.073005
47,0.559967,0.010222,0.053613,0.012000,72.573052,3.915382,0.073005
48,0.561368,0.009766,0.050826,0.012000,72.573052,3.915382,0.073005
49,0.569520,0.009216,0.089868,0.012000,72.573052,3.915382,0.073005
50,0.563053,0.009093,0.084082,0.012000,72.573052,3.915382,0.073005
51,0.591345,0.009520,0.054161,0.012000,72.573052,3.915382,0.073005
52,0.700143,0.010513,0.035698,0.012000,72.573052,3.915382,0.073005
53,0.576472,0.011087,0.038113,0.012000,72.573052,3.915382,0.073005
54,0.574817,0.010244,0.033026,0.012000,72.573052,3.915382,0.073005
55,0.573522,0.008902,0.030638,0.012000,72.573052,3.915382,0.073005
56,0.569162,0.008303,0.036596,0.012000,72.573052,3.915382,0.073005
57,0.559610,0.007910,0.024928,0.012000,72.573052,3.915382,0.073005
